dband,Eptatretus minor,Petromyzon marinus,Ginglymostoma cirratum,Carcharias taurus,Odontaspis ferox,Galeus arae,Scyliorhinus retifer,Scyliorhinus torrei,Mustelus norrisi,Mustelus sinusmexicanus,Heptranchias perlo,Hexanchus griseus,Hexanchus nakamurai,Echinorhinus brucus,Cirrhigaleus asper,Squalus acanthias,Squalus cubensis,Squalus mitsukurii,Centrophorus tessellatus,Dalatias licha,Etmopterus bigelowi,Etmopterus bullisi,Etmopterus hillianus,Etmopterus schultzi,Etmopterus virens,Centroscymnus coelolepis,Somniosus microcephalus,Tetronarce occidentalis,Breviraja claramaculata,Breviraja colesi,Dipturus bullisi,Dipturus garricki,Dipturus teevani,Fenestraja plutonia,Springeria folirostris,Urobatis jamaicensis,Aetobatus narinari,Myliobatis freminvillii,Rhinoptera bonasus,Chimaera cubana,Acipenser oxyrinchus,Atractosteus spatula,Lepisosteus osseus,Elops saurus,Notacanthus chemnitzii,Anguilla rostrata,Moringua edwardsi,Kaupichthys nuchalis,Anarchias similis,Channomuraena vittata,Echidna catenata,Enchelycore carychroa,Enchelycore nigricans,Gymnothorax funebris,Gymnothorax maderensis,Gymnothorax miliaris,Gymnothorax moringa,Gymnothorax nigromarginatus,Gymnothorax polygonius,Gymnothorax vicinus,Monopenchelys acuta,Muraena retifera,Uropterygius macularius,Dysommina rugosa,Synaphobranchus oregonii,Echiophis punctifer,Myrichthys breviceps,Myrichthys ocellatus,Ariosoma selenops,Bathycongrus thysanochilus,Bathyuroconger vicinus,Parabathymyrus oregoni,Xenomystax congroides,Argentina georgei,Ijimaia loppei,Synodus intermedius,Trachinocephalus myops,Parasudis truculenta,Scopelosaurus smithii,Polymixia nobilis,Caelorinchus caelorhincus,Caelorinchus caribbaeus,Hymenocephalus italicus,Malacocephalus laevis,Malacocephalus occidentalis,Nezumia aequalis,Gadella imberbis,Laemonema barbatulum,Laemonema goodebeanorum,Merluccius albidus,Urophycis cirrata,Urophycis earllii,Urophycis floridana,Urophycis regia,Carapus bermudensis,Brotula barbata,Dicrolene intronigra,Monomitopus agassizii,Neobythites elongatus,Neobythites gilli,Saccogaster rhamphidognatha,Saccogaster staigeri,Opsanus beta,Opsanus dichrostomus,Opsanus pardus,Antennarius multiocellatus,Antennarius pauciradiatus,Antennarius scaber,Fowlerichthys ocellatus,Chaunax suttkusi,Rivulus marmoratus,Fundulus majalis,Fundulus pulvereus,Cyprinodon variegatus,Floridichthys carpio,Gambusia puncticulata,Gephyroberyx darwinii,Hoplostethus mediterraneus,Hoplostethus occidentalis,Beryx decadactylus,Beryx splendens,Corniger spinosus,Flammeo marianus,Holocentrus adscensionis,Holocentrus rufus,Myripristis jacobus,Neoniphon coruscum,Neoniphon vexillarium,Ostichthys trachypoma,Plectrypops retrospinis,Sargocentron bullisi,Sargocentron poco,Cyttopsis rosea,Grammicolepis brachiusculus,Xenolepidichthys dalgleishi,Zenopsis conchifera,Acentronura dendritica,Anarchopterus criniger,Cosmocampus brachycephalus,Cosmocampus elucens,Cosmocampus hildebrandi,Halicampus crinitus,Hippocampus erectus,Hippocampus reidi,Syngnathus springeri,Aulostomus maculatus,Fistularia tabacaria,Macroramphosus gracilis,Macroramphosus scolopax,Ectreposebastes imus,Neomerinthe beanorum,Neomerinthe hemingwayi,Pontinus castor,Pontinus longispinis,Pontinus nematophthalmus,Pontinus rathbuni,Scorpaena bergii,Scorpaena brasiliensis,Scorpaena dispar,Scorpaena elachys,Scorpaena inermis,Scorpaena plumieri,Scorpaenodes caribbaeus,Scorpaenodes tredecimspinosus,Setarches guentheri,Peristedion brevirostre,Peristedion gracile,Centropomus ensiferus,Centropomus mexicanus,Centropomus parallelus,Centropomus pectinatus,Centropomus poeyi,Centropomus undecimalis,Morone saxatilis,Bathysphyraenops simplex,Synagrops bellus,Synagrops spinosus,Synagrops trispinosus,Symphysanodon berryi,Alphestes afer,Anthias nicholsi,Anthias woodsi,Baldwinella aureorubens,Baldwinella vivanus,Centropristis philadelphica,Centropristis striata,Cephalopholis cruentata,Cephalopholis fulva,Cephalopholis furcifer,Choranthias tenuis,Dermatolepis inermis,Epinephelus adscensionis,Epinephelus drummondhayi,Epinephelus guttatus,Epinephelus itajara,Epinephelus morio,Epinephelus striatus,Gonioplectrus hispanus,Hemanthias leptus,Hypoplectrus aberrans,Hypoplectrus chlorurus,Hypoplectrus gemma,Hypoplectrus gummigutta,Hypoplectrus guttavarius,Hypoplectrus indigo,Hypoplectrus nigricans,Hypoplectrus puella,Hypoplectrus unicolor,Hyporthodus flavolimbatus,Hyporthodus mystacinus,Hyporthodus nigritus,Hyporthodus niveatus,Liopropoma aberrans,Liopropoma carmabi,Liopropoma eukrines,Liopropoma rubre,Mycteroperca acutirostris,Mycteroperca bonaci,Mycteroperca interstitialis,Mycteroperca microlepis,Mycteroperca phenax,Mycteroperca tigris,Mycteroperca venenosa,Plectranthias garrupellus,Pronotogrammus martinicensis,Rypticus bistrispinus,Rypticus maculatus,Rypticus randalli,Rypticus saponaceus,Rypticus subbifrenatus,Schultzea beta,Serraniculus pumilio,Serranus annularis,Serranus baldwini,Serranus chionaraia,Serranus luciopercanus,Serranus notospilus,Serranus phoebe,Serranus subligarius,Serranus tabacarius,Serranus tigrinus,Serranus tortugarum,Gramma loreto,Lipogramma anabantoides,Lipogramma trilineata,Heteropriacanthus cruentatus,Priacanthus arenatus,Pristigenys alta,Apogon aurolineatus,Apogon binotatus,Apogon lachneri,Apogon maculatus,Apogon phenax,Apogon pillionatus,Apogon planifrons,Apogon pseudomaculatus,Apogon quadrisquamatus,Apogon townsendi,Paroncheilus affinis,Phaeoptyx conklini,Phaeoptyx pigmentaria,Phaeoptyx xenus,Epigonus denticulatus,Epigonus pandionis,Epigonus pectinifer,Alectis ciliaris,Caranx bartholomaei,Caranx crysos,Caranx ruber,Oligoplites saurus saurus,Seriola dumerili,Seriola fasciata,Seriola rivoliana,Seriola zonata,Trachinotus carolinus,Trachinotus falcatus,Trachinotus goodei,Apsilus dentatus,Etelis oculatus,Lutjanus analis,Lutjanus apodus,Lutjanus buccanella,Lutjanus campechanus,Lutjanus cyanopterus,Lutjanus griseus,Lutjanus jocu,Lutjanus mahogoni,Lutjanus synagris,Lutjanus vivanus,Ocyurus chrysurus,Pristipomoides aquilonaris,Pristipomoides macrophthalmus,Rhomboplites aurorubens,Lobotes surinamensis,Anisotremus surinamensis,Anisotremus virginicus,Emmelichthyops atlanticus,Haemulon album,Haemulon aurolineatum,Haemulon bonariense,Haemulon boschmae,Haemulon carbonarium,Haemulon chrysargyreum,Haemulon flavolineatum,Haemulon macrostomum,Haemulon melanurum,Haemulon parra,Haemulon plumierii,Haemulon sciurus,Haemulon striatum,Haemulon vittatum,Haemulopsis corvinaeformis,Archosargus probatocephalus,Calamus bajonado,Calamus calamus,Calamus nodosus,Calamus penna,Calamus pennatula,Calamus proridens,Diplodus argenteus caudimacula,Diplodus holbrookii,Lagodon rhomboides,Pagrus pagrus,Corvula batabana,Corvula sanctaeluciae,Equetus lanceolatus,Equetus punctatus,Odontoscion dentex,Pareques acuminatus,Pareques iwamotoi,Pareques umbrosus,Mulloidichthys martinicus,Pempheris schomburgkii,Kyphosus sectatrix,Kyphosus vaigiensis,Chaetodon capistratus,Chaetodon ocellatus,Chaetodon sedentarius,Chaetodon striatus,Prognathodes aculeatus,Prognathodes aya,Prognathodes guyanensis,Centropyge argi,Holacanthus bermudensis,Holacanthus ciliaris,Holacanthus tricolor,Pomacanthus arcuatus,Pomacanthus paru,Amblycirrhitus pinos,Abudefduf saxatilis,Abudefduf taurus,Chromis cyanea,Chromis enchrysura,Chromis insolata,Chromis multilineata,Chromis scotti,Microspathodon chrysurus,Stegastes adustus,Stegastes diencaeus,Stegastes leucostictus,Stegastes partitus,Stegastes planifrons,Stegastes xanthurus,Bodianus pulchellus,Bodianus rufus,Clepticus parrae,Decodon puellaris,Halichoeres bathyphilus,Halichoeres bivittatus,Halichoeres caudalis,Halichoeres cyanocephalus,Halichoeres garnoti,Halichoeres maculipinna,Halichoeres pictus,Halichoeres poeyi,Halichoeres radiatus,Lachnolaimus maximus,Thalassoma bifasciatum,Nicholsina usta,Scarus coelestinus,Scarus coeruleus,Scarus guacamaia,Scarus iseri,Scarus taeniopterus,Scarus vetula,Sparisoma atomarium,Sparisoma aurofrenatum,Sparisoma chrysopterum,Sparisoma radians,Sparisoma rubripinne,Sparisoma viride,Exechodontes daidaleus,Bembrops gobioides,Enneanectes altivelis,Enneanectes boehlkei,Enneanectes jordani,Enneanectes pectoralis,Chasmodes longimaxilla,Chasmodes saburrae,Entomacrodus nigricans,Hypleurochilus bermudensis,Hypleurochilus caudovittatus,Hypleurochilus multifilis,Hypleurochilus springeri,Hypsoblennius hentz,Hypsoblennius invemar,Hypsoblennius ionthas,Lupinoblennius nicholsi,Ophioblennius macclurei,Parablennius marmoreus,Scartella cristata,Brockius albigenys,Brockius nigricinctus,Gobioclinus bucciferus,Gobioclinus gobio,Gobioclinus guppyi,Gobioclinus haitiensis,Gobioclinus kalisherae,Labrisomus nuchipinnis,Malacoctenus aurolineatus,Malacoctenus gilli,Malacoctenus macropus,Malacoctenus triangulatus,Paraclinus cingulatus,Paraclinus fasciatus,Paraclinus marmoratus,Paraclinus nigripinnis,Starksia lepicoelia,Starksia ocellata,Starksia starcki,Acanthemblemaria aspera,Emblemaria atlantica,Emblemariopsis bahamensis,Emblemariopsis diaphana,Hemiemblemaria simulus,Stathmonotus hemphillii,Stathmonotus stahli,Gobiesox punctulatus,Gobiesox strumosus,Barbulifer ceuthoecus,Bathygobius mystacium,Bathygobius soporator,Coryphopterus dicrus,Coryphopterus eidolon,Coryphopterus glaucofraenum,Coryphopterus hyalinus,Coryphopterus lipernes,Coryphopterus personatus,Coryphopterus punctipectophorus,Coryphopterus thrix,Elacatinus horsti,Elacatinus oceanops,Elacatinus prochilos,Elacatinus xanthiprora,Evermannichthys spongicola,Gobiosoma ginsburgi,Gobiosoma grosvenori,Gobiosoma robustum,Lythrypnus elasson,Lythrypnus nesiotes,Lythrypnus phorellus,Lythrypnus spilus,Priolepis hipoliti,Risor ruber,Tigrigobius macrodon,Tigrigobius saucrus,Varicus benthonis,Varicus marilynae,Varicus vespa,Cerdale floridana,Chaetodipterus faber,Acanthurus chirurgus,Acanthurus coeruleus,Acanthurus tractus,Neoepinnula americana,Nesiarchus nasutus,Promethichthys prometheus,Aphanopus intermedius,Benthodesmus tenuis,Lepidopus altifrons,Trichiurus lepturus,Ariomma regulus,Peprilus paru,Antigonia capros,Antigonia combatia,Citharichthys cornutus,Bothus lunatus,Hollardia meadi,Balistes capriscus,Balistes vetula,Canthidermis maculata,Melichthys niger,Xanthichthys ringens,Aluterus monoceros,Aluterus schoepfii,Aluterus scriptus,Cantherhines macrocerus,Cantherhines pullus,Monacanthus ciliatus,Monacanthus tuckeri,Acanthostracion polygonius,Lactophrys bicaudalis,Lactophrys trigonus,Lactophrys triqueter,Canthigaster jamestyleri,Canthigaster rostrata,Sphoeroides nephelus,Sphoeroides pachygaster,Chilomycterus antennatus,Chilomycterus antillarum,Chilomycterus reticulatus,Diodon holocanthus,Diodon hystrix
10,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
20,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
30,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1
