species,rating
Abudefduf saxatilis,AM
Acanthostracion polygonius,AM
Acanthostracion quadricornis,AM
Acanthurus chirurgus,AM
Acanthurus coeruleus,AM
Acanthurus tractus,AM
Anisotremus surinamensis,AM
Anisotremus virginicus,AM
Anthias asperilinguis,
Antigonia capros,
Antilligobius nikkiae,
Apogon gouldi,
Apogon lachneri,AM
Apogon maculatus,AM
Apogon pillionatus,AM
Apogon pseudomaculatus,AM
Apsilus dentatus,
Aulopus filamentosus,
Aulostomus maculatus,AM
Baldwinella vivanus,
Bathyanthias sp.,
Bellator brachychir,
Bellator egretta,
Bembrops sp.,
Bodianus pulchellus,AM
Bodianus rufus,AM
Bollmannia boqueronensis,
Bollmannia eigenmanni,
Brotula barbata,
Bullisichthys caribbaeus,
Calamus calamus,AM
Cantherhines sp.,AM
Canthidermis sufflamen,AM
Canthigaster jamestyleri,AM
Canthigaster rostrata,AM
Carangoides bartholomaei,AM
Carangoides ruber,AM
Caranx latus,AM
Caranx lugubris,
Caulolatilus dooleyi,AM
Caulolatilus plumieri,AM
Centropristis fuscula,
Centropyge argi,AM
Cephalopholis cruentata,AM
Cephalopholis fulva,AM
Chaetodon capistratus,AM
Chaetodon ocellatus,AM
Chaetodon sedentarius,AM
Chaetodon striatus,AM
Chaunax pictus,DS
Choranthias tenuis,
Chrionema squamentum,
Chromis cyanea,AM
Chromis enchrysura,
Chromis insolata,AM
Chromis multilineata,AM
Chromis scotti,
Clepticus parrae,AM
Corniger spinosus,
Coryphopterus curasub,
Coryphopterus personatus,AM
Decapterus sp.,AM
Decodon puellaris,
Decodon shallow,
Derilissus lombardii,
Elacatinus chancei,AM
Elacatinus lobeli,AM
Epigonidae,
Epinephalus striatus,AM
Epinephelus adscensionis,AM
Epinephelus guttatus,AM
Equetus lanceolatus,AM
Etelis oculatus,
Fistularia sp.,AM
Flammeo marianus,
Foetorepus agassizii,
Gastropsetta frontalis,AM
Gephyroberyx darwinii,DS
Gnatholepis thompsoni,AM
Gonioplectrus hispanus,
Gramma linki,
Gramma loreto,AM
Gramma melacara,
Gymnothorax funebris,AM
Gymnothorax moringa,AM
Gymnothorax ocellatus,AM
Haemulon bonariense,AM
Haemulon chrysargyreum,AM
Haemulon flavolineatum,AM
Haemulon plumierii,AM
Haemulon sciurus,AM
Haemulon striatum,AM
Haemulon vittata,AM
Halichoeres bathyphilus,
Halichoeres garnoti,AM
Halichoeres maculipinna,AM
Halichoeres pictus,AM
Haptoclinus dropi,
Hemanthias leptus,
Heteropriacanthus cruentatus,
Holacanthus ciliaris,AM
Holacanthus tricolor,AM
Hollardia hollardi,DS
Holocentrus adscensionis,AM
Holocentrus rufus,AM
Hypoplectrus chlorurus,AM
Hypoplectrus indigo,AM
Hypoplectrus nigricans,AM
Hypoplectrus puella,AM
Hyporthodus niveatus,
Jeboehlkia gladifer,
Lachnolaimus maximus,AM
Lactophrys trigonus,AM
Lactophrys triqueter,AM
Liopropoma aberrans,
Liopropoma carmabi,
Liopropoma mowbrayi,
Liopropoma olneyi,
Liopropoma santi,
Lipogramma barrettorum,
Lipogramma evides,
Lipogramma flavescens,
Lipogramma haberi,
Lipogramma idabeli,
Lipogramma klayi,
Lipogramma levinsoni,
Lipogramma regium,
Lipogramma schrieri,
Lipogramma trilineata,
Malacanthus plumieri,AM
Melichthys niger,AM
Microspathodon chrysurus,AM
Mulloidichthys martinicus,AM
Muraena retifera,AM
Mycteroperca bonaci,
Mycteroperca interstitialis,
Mycteroperca tigris,AM
Myctoperca bonaci,
Myripristis jacobus,AM
Neoepinnula americana,DS
Neoniphon coruscum,AM
Neoscopelus macrolepidotus,DS
Ocyurus chrysurus,AM
Ogcocephalus corniger,
Ogcocephalus parvus,
Opistognathus aurifrons,AM
Opistognathus schrieri,
Ostichthys trachypoma,
Oxyurichthys stigmalophius,
Palatogobius grandoculus,
Palatogobius incendius,
Palatogobius paradoxus,
Paranthias furcifer,AM
Paroncheilus affinis,
Peristedion brevirostre,
Phenacoscorpius nebrius,
Physiculus fulvus,
Pinnichthys aimoriensis,
Plectranthias garrupellus,
Plectranthias sp.,
Polylepion sp.,
Pomacanthus arcuatus,AM
Pomacanthus paru,AM
Pontinus castor,
Pontinus nematophthalmus,
Priacanthus arenatus,
Priolepis hipoliti,AM
Pristigenys alta,
Pristipomoides aquilonaris,
Pristipomoides freemani,
Pristipomoides macrophthalmus,
Prognathodes aculeatus,
Prognathodes guyanensis,
Pronotogrammus martinicensis,
Pseudupeneus maculatus,AM
Psilotris laurae,
Ptereleotris helenae,AM
Pterois volitans,AM
Rypticus maculatus,AM
Rypticus saponaceous,AM
Rypticus saponaceus,AM
Sargocentron bullisi,
Sargocentron poco,AM
Scarus iseri,AM
Scarus taeniopterus,AM
Scarus vetula,AM
Scarus viride,AM
Scorpaena brasiliensis,
Scorpaenodes barrybrowni,
Scorpaenodes caribbaeus,
Seriola dumerili,
Seriola rivoliana,
Serranus annularis,AM
Serranus atrobranchus,
Serranus chionaraia,AM
Serranus luciopercanus,
Serranus notospilus,
Serranus phoebe,
Serranus tabacarius,AM
Serranus tigrinus,
Serranus tortugarum,
Sparisoma atomarium,AM
Sparisoma aurofrenatum,AM
Sparisoma chrysopterum,AM
Sparisoma rubripinne,AM
Sparisoma viride,AM
Sphoeroides dorsalis,AM
Sphyraena barracuda,AM
Sphyraenops bairdianus,DS
Stegastes diencaeus,AM
Stegastes partitus,AM
Stegastes planifrons,AM
Stegastes variabilis,AM
Stegastes viride,AM
Stegastes xanthurus,
Syacium gunteri,
Symphysanodon berryi,
Symphysanodon octoactinus,
Synagrops bellus,DS
Synagrops egretta,DS
Thalassoma bifasciatum,AM
Trachinotus goodei,
Varicus adamsi,
Varicus cephalocellatus,
Varicus decorum,
Varicus veliguttatus,
Verilus sordidus,
Vomerogobius flavus,
Xanthichthys ringens,
Zalieutes mcgintyi,