"","Acanthostracion quadricornis","Acanthurus coeruleus","Anthias asperilinguis","Antilligobius nikkiae","Apogon gouldi","Apogon lachneri","Apsilus dentatus","Aulopus filamentosus","Bembrops sp.","Bodianus pulchellus","Bodianus rufus","Bullisichthys caribbaeus","Canthigaster jamestyleri","Canthigaster rostrata","Carangoides ruber","Caranx lugubris","Centropyge argi","Cephalopholis cruentata","Chaetodon capistratus","Chaetodon ocellatus","Chaetodon sedentarius","Chaetodon striatus","Chaunax pictus","Chrionema squamentum","Chromis cyanea","Chromis enchrysura","Chromis insolata","Chromis scotti","Clepticus parrae","Corniger spinosus","Coryphopterus personatus","Decapterus sp.","Elacatinus chancei","Epigonidae","Epinephalus striatus","Etelis oculatus","Flammeo marianus","Gephyroberyx darwinii","Gnatholepis thompsoni","Gonioplectrus hispanus","Gramma linki","Gramma loreto","Gramma melacara","Haemulon bonariense","Haemulon flavolineatum","Haemulon plumierii","Haemulon striatum","Halichoeres garnoti","Halichoeres maculipinna","Halichoeres pictus","Heteropriacanthus cruentatus","Holacanthus ciliaris","Holacanthus tricolor","Holocentrus rufus","Hypoplectrus nigricans","Jeboehlkia gladifer","Lachnolaimus maximus","Lactophrys trigonus","Liopropoma aberrans","Liopropoma mowbrayi","Liopropoma olneyi","Liopropoma santi","Lipogramma evides","Lipogramma flavescens","Lipogramma idabeli","Lipogramma klayi","Lipogramma levinsoni","Malacanthus plumieri","Mulloidichthys martinicus","Mycteroperca interstitialis","Mycteroperca tigris","Myctoperca bonaci","Ocyurus chrysurus","Opistognathus aurifrons","Opistognathus schrieri","Ostichthys trachypoma","Palatogobius grandoculus","Palatogobius incendius","Palatogobius paradoxus","Plectranthias garrupellus","Polylepion sp.","Pomacanthus arcuatus","Pomacanthus paru","Pontinus castor","Priacanthus arenatus","Pristigenys alta","Prognathodes aculeatus","Prognathodes guyanensis","Pronotogrammus martinicensis","Pseudupeneus maculatus","Ptereleotris helenae","Pterois volitans","Rypticus saponaceus","Sargocentron poco","Scarus iseri","Scarus taeniopterus","Scarus viride","Seriola dumerili","Serranus luciopercanus","Serranus tabacarrius","Serranus tortugarum","Sparisoma atomarium","Sparisoma aurofrenatum","Sparisoma viride","Sphyraena barracuda","Stegastes partitus","Stegastes xanthurus","Symphysanodon berryi","Symphysanodon octoactinus","Synagrops bellus","Thalassoma bifasciatum","Trachinotus goodei","Varicus adamsi","Varicus veliguttatus","Verilus sordidus","Vomerogobius flavus"
"40",0,2.58360213655276,0,0,0,0,0,0,0,0,2.1095023109729,0,1.49164338901763,20.1233694991669,3.94651745213422,1.49164338901763,0,2.1095023109729,5.96657355607052,0,0,0,0,0,14.6150607251561,0,38.8973006775534,0,7.30753036257804,0,40.024992192379,0,0,0,0,0,4.7169905660283,0,4.94722144238561,0,1.49164338901763,2.1095023109729,17.3954016912516,1.49164338901763,2.58360213655276,2.58360213655276,0,8.8246812973614,1.49164338901763,5.96657355607052,0,0,2.1095023109729,2.1095023109729,0,0,0,0,0,3.65376518128902,0,0,0,0,0,0,0,2.58360213655276,2.58360213655276,0,0,0,0,2.1095023109729,0,0,0,0,0,0,0,1.49164338901763,0,0,0,0,2.1095023109729,0,0,0,0,0,0,0,2.58360213655276,8.1700673191841,0,0,0,1.49164338901763,4.2190046219458,2.98328677803526,4.2190046219458,1.49164338901763,1.49164338901763,8.43800924389159,1.49164338901763,0,0,0,1.49164338901763,2.58360213655276,0,0,0,0
"50",0,0,0,0,0,0,0,0,0,0,2.88855500207284,0,0,14.9164338901763,0,0,1.66770800801579,2.35849528301415,5.5311617224594,0,0,0,0,0,10.1442717826367,0,38.0661430933054,4.4123406486807,6.01300673540285,0,20.4251682979602,0,0,0,0,0,4.4123406486807,0,7.07548584904245,0,0,3.72910847254407,7.64239818381639,0,2.88855500207284,0,0,7.07548584904245,0,1.66770800801579,0,1.66770800801579,3.72910847254407,1.66770800801579,0,0,1.66770800801579,0,0,1.66770800801579,0,0,0,0,0,0,0,0,1.66770800801579,0,1.66770800801579,0,1.66770800801579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66770800801579,0,0,0,0,0,7.45821694508815,1.66770800801579,0,0,0,0,0,5.00312402404738,0,0,3.72910847254407,0,0,0,0,0,0,0,0,0,0
"60",1.94608171513942,1.94608171513942,0,0,0,0,0,0,0,0,0,0,1.94608171513942,20.7784667573909,1.94608171513942,0,0,4.76690719985191,4.35157100482113,0,0,1.94608171513942,0,0,9.92310864054203,8.70314200964227,37.1798389632069,5.14884824926896,30.7086514920144,0,32.9687150197577,0,0,0,1.94608171513942,0,8.2565254651094,0,5.50435031007293,0,0,0,21.3182570826041,0,3.89216343027885,2.75217515503647,0,11.9964533757273,0,0,0,1.94608171513942,2.75217515503647,3.37071240630226,2.75217515503647,0,0,1.94608171513942,0,5.14884824926896,0,0,0,0,0,3.37071240630226,0,1.94608171513942,0,0,1.94608171513942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76690719985191,0,0,4.35157100482113,0,1.94608171513942,0,0,0,9.33308003640813,0,0,0,0,1.94608171513942,1.94608171513942,4.76690719985191,1.94608171513942,1.94608171513942,1.94608171513942,0,0,0,0,0,0,0,0,0,0
"70",0,0,0,8.92756924028036,0,0,0,0,0,2.30508846598129,0,0,2.30508846598129,32.4354698058776,2.30508846598129,0,2.30508846598129,8.62485128590633,7.64511355023586,0,3.25988737106054,0,0,0,3.99253033902061,0,39.9917902029404,12.1973816619798,37.0968880706185,0,24.1759717893614,0,0,0,0,0,9.77966211318162,0,7.28932976068445,0,6.91526539794389,0,36.0803415285942,0,5.15433450408489,0,2.30508846598129,13.0395494842422,0,0,0,3.99253033902061,2.30508846598129,6.51977474212108,0,0,0,0,0,10.5632423789289,0,0,0,0,0,14.7597678259517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30508846598129,0,0,0,6.09869083098988,0,0,0,0,4.61017693196259,0,0,0,5.64629055362899,0,0,3.25988737106054,0,0,0,2.30508846598129,0,0,0,0,0,0,0,2.30508846598129,0,0,0,0,3.25988737106054
"80",0,0,0,7.37488229628107,0,0,0,0,0,0,0,0,3.14466037721087,23.0012076967276,2.22361067725445,0,0,3.85140666925735,5.88312086464319,0,3.14466037721087,9.9442892596706,0,0,0,0,24.459717449799,5.44671154587793,22.3470107362036,0,0,9.9442892596706,2.22361067725445,0,0,0,9.4339811316326,0,0,0,2.22361067725445,0,12.7736708369991,0,0,0,2.22361067725445,7.03167436959363,0,0,0,2.22361067725445,0,6.67083203176335,0,0,0,0,0,3.85140666925735,0,0,0,0,0,7.37488229628107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22361067725445,0,0,0,2.22361067725445,4.4472213545089,0,0,0,3.14466037721087,0,0,3.14466037721087,0,5.88312086464319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90",0,0,0,37.021615309897,0,2.43584345432953,2.43584345432953,0,0,4.87168690865905,2.43584345432953,0,5.44671154642873,47.5457674273326,0,4.21900462218282,0,4.87168690865905,5.96657355640572,2.43584345432953,0,0,0,0,0,0,23.9902758091273,11.1624370105278,18.0646985408005,0,0,0,0,0,0,0,13.1174184459443,0,0,0,5.44671154642873,0,17.2240142446527,0,0,0,31.2889756960818,5.44671154642873,0,0,0,5.44671154642873,0,10.3344085467916,0,0,0,0,0,13.3416640648759,0,0,0,3.44480284893055,0,19.1798505392508,0,0,0,2.43584345432953,0,0,0,0,0,0,0,50.978426812643,0,0,0,0,0,0,0,0,2.43584345432953,0,0,0,0,11.1624370105278,0,0,0,2.43584345432953,0,0,6.88960569786109,0,0,0,0,0,3.44480284893055,0,0,0,0,0,0,0,0,0,0,2.43584345432953
"100",0,0,0,5.16720427252494,0,0,0,0,0,0,0,0,1.72240142417498,8.94986033310018,0,1.72240142417498,0,2.43584345391899,1.72240142417498,0,0,0,0,0,0,0,2.98328677770006,2.43584345391899,0,0,0,0,0,0,0,0,4.87168690783798,0,0,0,1.72240142417498,0,3.44480284834996,0,0,0,2.43584345391899,0,0,0,0,0,0,2.43584345391899,0,0,0,0,0,5.44671154551074,0,0,0,0,0,5.16720427252494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72240142417498,0,0,0,0,0,2.98328677770006,0,0,0,1.72240142417498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110",0,0,0,3.40715360000103,0,0,0,0,0,0,0,0,2.78192926509644,13.0484048677223,0,3.934242096262,0,1.967121048131,2.78192926509644,0,0,0,0,0,0,0,0,2.78192926509644,0,0,0,0,0,0,0,0,4.39861638359155,0,0,0,1.967121048131,0,2.78192926509644,0,0,0,3.934242096262,0,0,0,0,0,0,1.967121048131,0,0,0,0,1.967121048131,7.09255580408078,0,0,0,0,0,3.934242096262,0,0,0,0,0,0,0,0,0,0,0,39.3915682909173,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78192926509644,1.967121048131,0,0,0,0,0,3.40715360000103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120",0,0,0,8.06981729718833,0,0,0,0,0,0,0,9.31822237768556,3.60893200850335,11.0254694046104,0,2.94668064574361,0,0,0,0,0,0,0,0,0,0,2.94668064574361,2.08361786659646,0,2.08361786659646,0,0,0,0,0,0,3.60893200850335,0,0,0,0,0,0,0,0,0,11.4124450675567,0,0,0,0,0,0,2.08361786659646,0,0,0,0,2.94668064574361,7.21786401700669,0,0,0,0,0,4.16723573319293,2.08361786659646,0,0,0,0,2.08361786659646,0,0,0,0,9.31822237768556,33.6618768201359,0,0,0,0,0,0,0,2.08361786659646,0,0,0,0,0,2.08361786659646,0,0,0,0,0,0,2.94668064574361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"130",0,0,0,15.1280250816159,0,0,0,0,0,0,0,7.13141941411386,5.52397372513664,10.3344085465013,0,0,0,0,0,0,0,0,0,0,0,2.25515282985433,0,2.25515282985433,0,0,0,0,0,0,0,0,2.25515282985433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18926771720406,5.96657355623812,0,0,0,0,3.90603928014043,0,0,0,0,0,0,0,0,0,0,0,3.18926771720406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.90603928014043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140",0,0,0,22.1032393874292,0,0,0,0,0,0,0,1.94608171513942,7.0166974101781,7.78432686055769,0,1.94608171513942,0,0,0,0,0,0,0,0,0,3.89216343027885,2.75217515503647,0,0,0,0,0,0,0,0,0,1.94608171513942,0,0,0,0,0,0,0,0,0,9.53381439970383,0,0,0,0,0,0,1.94608171513942,0,0,0,0,2.75217515503647,1.94608171513942,0,0,0,0,0,1.94608171513942,1.94608171513942,1.94608171513942,0,0,0,0,0,0,0,0,28.865056543163,8.9180667681959,0,0,0,0,0,0,1.94608171513942,1.94608171513942,0,0,3.37071240630226,0,2.75217515503647,3.89216343027885,0,0,0,0,0,0,3.37071240630226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"150",0,0,0,2.01133153557538,2.8444523360394,0,0,0,0,0,0,0,0,4.02266307115075,0,0,0,0,0,0,0,0,0,0,0,3.48372841048208,2.01133153557538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8444523360394,0,0,0,0,0,0,0,0,0,0,0,6.67083203251289,2.01133153557538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.1469630435145,39.1564461223692,0,2.01133153557538,0,0,0,0,2.8444523360394,4.02266307115075,0,0,0,0,0,3.48372841048208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160",0,0,0,4.02266307065357,0,0,0,0,1.79898961531188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79898961531188,0,0,0,2.54415551254242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54415551254242,0,0,0,0,0,0,0,1.79898961531188,0,0,0,0,0,3.59797923062377,0,0,0,0,0,0,0,0,0,0,0,31.1594141600897,36.2039676358821,0,0,0,0,0,0,0,3.59797923062377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59797923062377,0,0,0,0,0,0,0
"170",0,0,0,4.52324774028573,0,0,0,0,0,0,0,0,1.43037652805127,0,0,1.43037652805127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43037652805127,0,0,0,0,2.02285788527024,0,0,2.86075305610254,0,1.43037652805127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02285788527024,24.7748482053877,20.4798751817485,0,0,0,0,0,0,0,1.43037652805127,0,0,0,0,0,1.43037652805127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53982447194855,0,0,0,0,0,0,0
"180",0,0,0,5.35814122807527,0,0,0,0,2.3962336038041,0,0,0,0,0,4.79246720760821,3.38878606111392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3962336038041,0,0,0,2.3962336038041,0,0,0,0,0,0,0,0,0,0,0,0,4.15039834859258,0,16.7736352266287,0,0,0,0,0,3.38878606111392,0,0,0,0,0,0,0,0,0,2.3962336038041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2184419049239,0,0,0,0,0,0,0
"190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.967121048131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.967121048131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.967121048131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40715360000103,3.934242096262,3.40715360000103,0,0,0,0,0,1.967121048131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.20451309211534,0,0,0,0,1.967121048131,0,0
"200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65482976103284,1.65482976103284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65482976103284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65482976103284,4.37826800984133,8.75653601968267,12.0473425083709,0,0,0,0,0,1.65482976103284,0,0,0,1.65482976103284,0,0,0,2.34028269147127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70031183685916,7.76183959097326,2.86624922398594,0,0,0,1.65482976103284,0,0
"210",0,0,0,0,0,0,0,0,4.11732691828084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5657097069167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05866345914042,2.91138978427829,0,0,0,0,0,0,0,0,0,0,0,4.11732691828084,8.48808688963538,0,0,0,0,0,0,2.05866345914042,0,0,0,0,0,0,0,2.05866345914042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.20662287486568,0,0,0,0,0,0,0
"220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72335577330616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92570333488832,0,0,0,0,0,0,0,0,0,0,1.92570333488832,1.92570333488832,4.7169905664523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92570333488832,3.85140666977664,0,0,0,0,3.85140666977664,0,0
"230",0,0,1.78285485331813,0,0,0,0,0,1.78285485331813,0,0,0,0,0,0,3.08799518846775,0,0,0,0,0,0,0,1.78285485331813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78285485331813,0,3.56570970663625,3.08799518846775,0,0,0,0,0,0,0,0,0,0,0,3.08799518846775,4.7169905656043,0,0,1.78285485331813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78285485331813,0,0,0,0,0,0,0,0,0,1.78285485331813,5.63788207397069,0,0,0,0,1.78285485331813,0,0
"240",0,0,0,0,0,0,0,0,2.61651559292124,0,0,0,0,0,0,1.85015591883495,0,0,0,0,0,0,1.85015591883495,2.61651559292124,0,0,0,0,0,0,0,0,0,0,0,1.85015591883495,0,1.85015591883495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20456405334641,1.85015591883495,0,0,0,0,0,0,0,0,0,0,0,3.7003118376699,5.85070672996007,0,3.7003118376699,0,2.61651559292124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20456405334641,1.85015591883495,0,0,1.85015591883495,1.85015591883495,1.85015591883495,0
"250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43866863523189,0,0,0,0,0,0,0,2.03458469570574,0,0,0,0,0,0,0,0,0,0,0,2.03458469570574,0,1.43866863523189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43866863523189,0,0,0,0,1.43866863523189,1.43866863523189,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49184717147742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18719353273039,1.43866863523189,2.49184717147742,0,0,0,0,0,0
"260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59990262663816,0,0,0,0,0,0,0,0,0,4.24562321079014,0,0,0,2.59990262663816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50105448135636,0,1.50105448135636,0,0,0,0,0,0,0,0,0,0,0,3.3564598582435,3.00210896271271,0,0,1.50105448135636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71291971648701,1.50105448135636,0,0,0,0,1.50105448135636,0,0
"270",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74165738677394,0,0,0,0,0,0,0,0,0,2.82842712474619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4142135623731,0,0,1.4142135623731,1.4142135623731,0,0,1.4142135623731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4142135623731,1.4142135623731,0,0,0,0,1.4142135623731,0,0
"280",0,0,2.01133153557538,0,0,0,0,2.01133153557538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92673596572822,0,0,0,4.02266307115075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8444523360394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01133153557538,4.92673596572822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01133153557538,0,0,0,0,0,0,0,0
"290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61791441615433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8642295302532,0,1.61791441615433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.80230997107743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61791441615433,1.61791441615433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2880765100844,1.61791441615433,1.61791441615433,0,0,0,0,0,0
"300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0654107819003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28807651052145,0,0,0,0,3.23582883292674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28807651052145,0,0,0,0,0,0,0,0
