"","Acanthostracion polygonius","Acanthostracion quadricornis","Acanthurus chirurgus","Acanthurus coeruleus","Acanthurus tractus","Antigonia capros","Antilligobius nikkiae","Apogon pillionatus","Baldwinella vivanus","Bathyanthias sp.","Bellator egretta","Bodianus rufus","Brotula barbata","Bullisichthys caribbaeus","Canthidermis sufflamen","Canthigaster rostrata","Carangoides ruber","Caranx lugubris","Centropristis fuscula","Centropyge argi","Cephalopholis cruentata","Cephalopholis fulva","Chaetodon capistratus","Chaetodon sedentarius","Chaetodon striatus","Chrionema squamentum","Chromis cyanea","Chromis enchrysura","Chromis insolata","Chromis multilineata","Chromis scotti","Clepticus parrae","Corniger spinosus","Decodon puellaris","Decodon shallow","Derilissus lombardii","Elacatinus chancei","Epinephelus adscensionis","Epinephelus guttatus","Equetus lanceolatus","Fistularia sp.","Flammeo marianus","Gastropsetta frontalis","Gnatholepis thompsoni","Gonioplectrus hispanus","Gramma linki","Gymnothorax ocellatus","Haemulon striatum","Halichoeres bathyphilus","Halichoeres garnoti","Holacanthus ciliaris","Holacanthus tricolor","Holocentrus adscensionis","Holocentrus rufus","Hypoplectrus indigo","Hypoplectrus puella","Liopropoma carmabi","Liopropoma mowbrayi","Liopropoma olneyi","Lipogramma evides","Lipogramma klayi","Lipogramma levinsoni","Lipogramma regium","Lipogramma trilineata","Malacanthus plumieri","Mulloidichthys martinicus","Myripristis jacobus","Ogcocephalus corniger","Ostichthys trachypoma","Palatogobius grandoculus","Palatogobius incendius","Paranthias furcifer","Paroncheilus affinis","Pinnichthys aimoriensis","Plectranthias garrupellus","Plectranthias sp.","Pomacanthus paru","Pontinus castor","Priacanthus arenatus","Pristigenys alta","Pristipomoides macrophthalmus","Prognathodes aculeatus","Prognathodes guyanensis","Pronotogrammus martinicensis","Ptereleotris helenae","Rypticus saponaceus","Scarus taeniopterus","Scorpaenodes caribbaeus","Seriola rivoliana","Serranus annularis","Serranus luciopercanus","Serranus notospilus","Serranus phoebe","Serranus tabacarius","Serranus tortugarum","Sparisoma aurofrenatum","Sparisoma viride","Sphoeroides dorsalis","Sphyraena barracuda","Stegastes partitus","Symphysanodon berryi","Symphysanodon octoactinus","Thalassoma bifasciatum","Varicus cephalocellatus","Varicus veliguttatus","Xanthichthys ringens","Zalieutes mcgintyi"
"40",0,0,3.29795482382643,3.29795482382643,0,0,0,0,0,0,0,3.29795482382643,0,0,5.71222531593424,0,3.29795482382643,0,0,4.66401243994911,4.66401243994911,0,0,0,0,0,26.7927116455203,0,5.71222531593424,11.89094522147,0,31.9748583402648,0,0,0,0,0,3.29795482382643,0,0,0,0,0,0,0,0,0,0,0,16.8163360016384,0,3.29795482382643,0,6.59590964765285,0,3.29795482382643,0,0,0,0,0,0,0,0,3.29795482382643,3.29795482382643,0,0,0,0,0,7.37445117279923,0,0,0,0,3.29795482382643,0,0,0,0,6.59590964765285,0,0,0,0,13.1918192953057,0,0,0,0,0,0,3.29795482382643,9.89386447147928,4.66401243994911,4.66401243994911,0,0,21.8761574523498,0,0,4.66401243994911,0,0,0,0
"50",0,0,0,0,3.89925768961222,0,0,0,0,0,0,0,0,0,3.89925768961222,3.89925768961222,0,0,0,0,3.89925768961222,6.75371243021199,5.51438310783718,3.89925768961222,3.89925768961222,0,57.4396525495237,0,3.89925768961222,0,0,0,0,0,0,0,0,0,3.89925768961222,0,0,0,0,0,0,0,0,0,0,11.6977730688366,0,10.3164661444702,14.0589735361441,3.89925768961222,3.89925768961222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.51438310783718,0,0,0,0,5.51438310783718,0,0,0,0,6.75371243021199,0,0,0,0,0,0,3.89925768961222,30.2035201888786,0,0,0,3.89925768961222,56.5056122106468,0,0,0,0,0,0,0
"60",2.61267811966955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91249656050547,0,0,0,2.61267811966955,0,0,0,0,11.9727952499406,0,2.61267811966955,0,0,0,0,0,0,0,2.61267811966955,0,0,0,0,0,0,0,2.61267811966955,0,0,2.61267811966955,0,0,0,2.61267811966955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52529124709117,0,0,0,0,0,0,0,13.0633905983477,0,0,0,0,0,0,0,0,0,0,0,0
"70",2.44357574509161,0,0,0,0,0,0,3.45573795939449,0,0,0,0,0,0,0,3.45573795939449,0,0,0,10.9280029483891,0,0,0,2.44357574509161,0,0,5.98551372331565,0,26.8793331960077,0,3.45573795939449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44357574509161,0,0,0,3.45573795939449,0,0,2.44357574509161,2.44357574509161,0,0,2.44357574509161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45573795939449,0,0,0,2.44357574509161,0,0,0,0,0,2.44357574509161,2.44357574509161,0,0,0,0,0,0,0,0,0,2.44357574509161,0
"80",0,1.94121809207518,0,0,0,0,0,0,0,0,0,0,0,33.6788751590815,0,1.94121809207518,0,0,0,2.74529695333674,3.36228836404613,0,0,3.88243618415036,0,0,0,0,25.0860663063582,0,7.26337301355231,0,0,0,0,0,0,1.94121809207518,0,0,0,1.94121809207518,0,1.94121809207518,0,2.74529695333674,0,3.88243618415036,0,5.82365427622554,0,2.74529695333674,3.88243618415036,2.74529695333674,0,0,0,1.94121809207518,0,0,1.94121809207518,0,0,0,0,0,1.94121809207518,0,0,0,0,0,61.5093569444845,0,0,0,2.74529695333674,0,0,0,0,5.49059390667349,0,0,8.46157349072854,1.94121809207518,6.99916136783543,0,0,0,0,0,0,0,8.23589086001023,0,0,0,1.94121809207518,0,0,0,0,0,0,4.34069561303255,0
"90",0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,1.4142135623731,1.4142135623731,0,0,1.4142135623731,0,0,0,0,7.21110255092798,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1.73205080756888,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1.4142135623731,0,0,0,0,2.44948974278318,0,0,5.74456264653803,0,1.73205080756888,0,0,1,1,0,0,1.4142135623731,1,0,0,0,0,0,0,0,0,0,0,2.23606797749979,0
"100",0,0,0,0,0,0,15.2804283056137,0,0,0,0,0,0,7.86460743584828,0,1.24350362001886,0,0,0,0,2.48700724003771,0,0,1.24350362001886,1.24350362001886,0,0,0,4.65276450532369,0,4.12423493305122,0,0,0,3.51715936858141,2.15381144926848,0,0,1.75857968429071,0,0,5.4203066155892,0,0,0,1.75857968429071,0,0,1.24350362001886,0,0,1.24350362001886,1.75857968429071,2.48700724003771,0,0,0,4.12423493305122,0,0,5.27573905287212,0,1.75857968429071,2.15381144926848,0,1.75857968429071,2.15381144926848,0,0,0,6.34064922369942,0,8.88039210299861,0,0,0,0,0,0,0,0,3.93230371792414,0,0,5.83254897673393,0,0,0,0,1.24350362001886,1.75857968429071,0,0,0,0,0,0,0,1.75857968429071,0,0,0,0,0,0,2.48700724003771,0
"110",0,0,0,0,0,0,21.5485755317376,0,0,0,0,0,0,26.1065871841572,0,0,0,1.14047155641866,0,0,1.97535468030427,0,0,2.28094311283732,0,0,0,1.97535468030427,3.01740411562654,0,3.95070936060855,0,0,0,2.79357337938347,2.28094311283732,1.14047155641866,1.61287034258802,0,0,0,2.55017192655711,0,0,0,1.61287034258802,0,0,0,1.61287034258802,1.14047155641866,1.14047155641866,0,2.55017192655711,0,0,0,4.41702734483272,0,0,4.41702734483272,0,1.61287034258802,1.14047155641866,0,0,1.14047155641866,0,0,0,18.6354587831102,0,0,0,0,0,0,0,0,0,0,2.79357337938347,0,0,0,1.14047155641866,0,0,0,0,3.95070936060855,1.14047155641866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120",0,0,0,0,0,0,36.7054192488929,0,1.95919033965564,0,0,0,0,30.2883476289645,0,0,0,0,0,0,3.3934172099817,0,0,0,0,0,0,1.95919033965564,1.95919033965564,0,4.38088278033092,0,0,2.77071354961136,1.95919033965564,4.38088278033092,0,0,0,0,1.95919033965564,2.77071354961136,0,0,0,0,0,0,0,0,2.77071354961136,0,2.77071354961136,0,0,0,0,5.54142709922273,0,0,6.19550384311074,0,0,0,0,0,3.3934172099817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3934172099817,0,0,0,0,0,0,0,0,3.3934172099817,0,0,0,0,0,0,0,1.95919033965564,0,0,0,0,0,0,0,0
"130",0,0,0,0,0,0,23.4072526880025,0,0,0,0,0,0,8.48008293237749,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2051700766106,1.85050580652966,0,4.53279499205512,0,0,0,4.1378567761584,0,0,0,0,0,0,1.85050580652966,0,0,0,0,0,0,0,0,0,0,2.61701040884441,0,0,0,0,3.70101161305933,0,0,0,2.61701040884441,0,0,0,0,0,0,0,0,1.85050580652966,0,0,0,0,0,0,0,0,0,0,2.61701040884441,0,0,1.85050580652966,0,0,0,0,0,2.61701040884441,1.85050580652966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140",0,0,0,0,0,0,10.393332840047,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26801116487552,0,0,0,0,0,0,2.26801116487552,0,0,0,0,0,0,3.20745214898056,0,0,0,0,0,0,2.26801116487552,0,0,0,0,0,0,0,0,0,2.26801116487552,5.07142713839014,0,0,0,0,4.53602232975103,2.26801116487552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26801116487552,0,3.20745214898056,3.20745214898056,2.26801116487552,0,0,0,0,0,0,3.20745214898056,2.26801116487552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"150",0,0,0,0,0,0,9.53447920491728,0,0,0,0,0,0,1.83491137851396,0,0,1.83491137851396,0,1.83491137851396,0,0,0,0,0,0,0,0,3.66982275702792,0,0,1.83491137851396,0,0,0,3.66982275702792,1.83491137851396,0,1.83491137851396,0,1.83491137851396,0,1.83491137851396,0,0,1.83491137851396,0,0,0,0,0,0,0,2.59495655724715,0,0,0,0,0,3.66982275702792,0,0,0,0,0,0,0,0,0,0,0,1.83491137851396,0,0,0,0,0,0,0,0,1.83491137851396,0,1.83491137851396,0,1.83491137851396,0,0,0,0,0,0,1.83491137851396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83491137851396,0
"160",0,0,0,0,0,0,0,0,0,0,0,0,0,9.54975576855241,0,0,0,0,0,0,0,0,0,0,0,0,0,3.60946840642774,0,0,0,0,2.0839275560825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0839275560825,0,5.51355406366891,0,0,2.9471186128149,0,0,0,0,0,0,0,0,26.768534134969,0,0,0,0,0,0,0,0,4.16785511216501,0,0,0,7.21893681285548,0,0,0,0,2.9471186128149,0,0,0,0,0,0,0,0,0,2.0839275560825,0,0,0,0,0,0,0,0
"170",0,0,0,0,0,0,15.5277193380097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.75437365590884,0,0,0,0,0,2.74493891006703,0,1.94096491725121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36184985238782,0,0,2.74493891006703,0,0,0,0,0,1.94096491725121,0,0,0,0,0,0,1.94096491725121,1.94096491725121,0,1.94096491725121,0,3.36184985238782,0,0,1.94096491725121,10.2706209490955,0,0,0,0,0,0,0,0,2.74493891006703,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"180",0,0,0,0,0,0,12.2590535141992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88948662360635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88948662360635,0,0,0,0,0,0,0,0,0,0,0,11.3759202130641,0,0,0,0,0,0,2.04317558569987,0,2.88948662360635,0,0,0,6.46108851046014,2.04317558569987,0,0,0,0,0,0,4.08635117139974,5.40573448460059,0,0,0,0,2.04317558569987,0,0,0,0,0,2.04317558569987,0,0,0
"190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88989713397317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6727181583549,0,0,0,0,0,0,0,0,0,1.88989713397317,0,0,0,0,0,0,0,0,0,1.88989713397317,3.27339785712033,0,0,0,5.3454363167098,0,0,0,1.88989713397317,0,0,0,1.88989713397317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96520535466399,0,0,0,0,0,0,0,1.96520535466399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77922006541404,0,0,0,0,0,0,0,0,1.96520535466399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96520535466399,0,1.96520535466399,0,1.96520535466399,0,0,0,0,2.77922006541404,0,0,0,0,1.96520535466399,0,0,0,0,0,0,0,0,1.96520535466399
"210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58081053197402,0,0,0,0,0,0,0,0,0,1.58081053197402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58081053197402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58081053197402,0,0,0,0,0,0,0,0,1.58081053197402,0,2.23560369385989,0,0,0,2.23560369385989,0,1.58081053197402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58081053197402,0,0,0,0,0
"220",0,0,0,0,0,2.44559857315137,0,0,0,0,2.44559857315137,0,2.44559857315137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23590098361612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45859867027095,0,0,0,2.44559857315137,0,0,0,0,0,2.44559857315137,0,0,0,0,0,0,0,0,0
"230",0,0,0,0,0,0,0,0,1.50523270293998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01046540587996,0,0,0,0,0,0,0,3.01046540587996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60713951870628,0,0,0,0,0,0,0,0,0,0,0,0,1.50523270293998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50523270293998,0,0,1.50523270293998,0,0,0,2.12872050302523,0,0
"240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77048212169213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77048212169213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54673426391526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"270",0,0,0,0,0,0,0,0,0,4.27052382501257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27052382501257,0,0,0,0,0,0
