species,Benthic,Brooded,Live birth,No pelagic larva,No pelagic phase,Pelagic,Pelagic larva
Acanthuridae,,,,,,,
Acanthurus chirurgus,,,,,,x,x
Acanthurus coeruleus,,,,,,x,x
Acanthurus guttatus,,,,,,x,x
Acanthurus pyroferus,,,,,,x,x
Acanthurus sohal,,,,,,x,x
Acanthurus tractus,,,,,,x,x
Naso lituratus,,,,,,x,x
Zebrasoma desjardinii,,,,,,x,x
Zebrasoma flavescens,,,,,,x,x
Zebrasoma scopas,,,,,,x,x
Zebrasoma velifer,,,,,,x,x
Zebrasoma xanthurum,,,,,x,,x
Achiridae,,,,,,,
Achirus achirus,,,,,,x,x
Achirus declivis,,,,,,x,x
Achirus lineatus,,,,,,x,x
Apionichthys dumerili,,,,,,x,x
Gymnachirus melas,,,,,,x,x
Gymnachirus nudus,,,,,,x,x
Gymnachirus texae,,,,,,x,x
Trinectes inscriptus,,,,,,x,x
Trinectes maculatus,,,,,,x,x
Trinectes microphthalmus,,,,,,x,x
Trinectes paulistanus,,,,,,x,x
Acipenseridae,,,,,,,
Acipenser brevirostrum,x,,,x,,,
Acipenser oxyrinchus,x,,,x,,,
Scaphirhynchus albus,x,,,x,,,
Acropomatidae,,,,,,,
Synagrops bellus,,,,,,x,x
Synagrops pseudomicrolepis,,,,,,x,x
Synagrops spinosus,,,,,,x,x
Synagrops trispinosus,,,,,,x,x
Verilus sordidus,,,,,x,,x
Aetobatidae,,,,,,,
Aetobatus narinari,,,x,x,,,
Albulidae,,,,,,,
Albula goreensis,,,,,,x,x
Albula nemoptera,,,,,,x,x
Albula vulpes,,,,,,x,x
Alopiidae,,,,,,,
Alopias superciliosus,,,x,x,,,
Alopias vulpinus,,,x,x,,,
Ammodytidae,,,,,,,
Protammodytes sarisa,x,,,,,x,
Anablepidae,,,,,,,
Anableps anableps,,,x,x,x,,
Anableps microlepis,,,x,x,x,,
Anacanthobatidae,,,,,,,
Schroederobatis americana,x,,,,x,,
Springeria folirostris,x,,,,x,,
Springeria longirostris,x,,,x,x,,
Anguillidae,,,,,,,
Anguilla rostrata,,,,,,x,x
Anomalopidae,,,,,,,
Kryptophanaron alfredi,,,,,,x,x
Antennariidae,,,,,,,
Antennarius multiocellatus,,,,,,x,x
Antennarius pauciradiatus,,,,,,x,x
Antennarius scaber,,,,,,x,x
Antennatus bermudensis,,,,,,x,x
Fowlerichthys ocellatus,,,,,,x,x
Fowlerichthys radiosus,,,,,,x,x
Histrio histrio,,,,x,,x,
Apogonidae,,,,,,,
Apogon aurolineatus,,x,,,,,x
Apogon binotatus,,x,,,,,x
Apogon gouldi,,x,,,,,x
Apogon lachneri,,,,,,x,x
Apogon leptocaulus,,,,,,x,x
Apogon maculatus,,x,,,,,x
Apogon mosavi,,x,,,,,x
Apogon phenax,,x,,,,,x
Apogon pillionatus,,x,,,,,x
Apogon planifrons,,x,,,,,x
Apogon pseudomaculatus,,x,,,,,x
Apogon quadrisquamatus,,x,,,,,x
Apogon robbyi,,x,,,,,x
Apogon robinsi,,x,,,,,x
Apogon townsendi,,x,,,,,x
Astrapogon alutus,,x,,,,,x
Astrapogon puncticulatus,x,,,,,,x
Astrapogon stellatus,,x,,,,,x
Paroncheilus affinis,,x,,,,,x
Phaeoptyx conklini,,x,,,,,x
Phaeoptyx pigmentaria,,x,,,,,x
Phaeoptyx xenus,,x,,,,,x
Zapogon evermanni,,x,,,,,x
Argentinidae,,,,,,,
Argentina striata,,,,,,x,x
Glossanodon pygmaeus,,,,,,x,x
Arhynchobatidae,,,,,,,
Pseudoraja fischeri,x,,,x,x,,
Ariidae,,,,,,,
Ariopsis assimilis,,x,,x,x,,
Ariopsis canteri,,x,,x,x,,
Ariopsis felis,,x,,x,x,,
Bagre bagre,,x,,x,x,,
Bagre marinus,,x,,x,x,,
Cathorops aguadulce,,x,,x,x,,
Cathorops arenatus,,x,,x,x,,
Cathorops belizensis,,x,,x,x,,
Cathorops higuchii,,x,,x,x,,
Cathorops kailolae,,x,,x,x,,
Cathorops mapale,,x,,x,x,,
Cathorops melanopus,,x,,x,x,,
Cathorops nuchalis,,x,,x,,,
Cathorops wayuu,,x,,,,,
Notarius grandicassis,,x,,x,x,,
Notarius neogranatensis,,x,,x,x,,
Notarius phrygiatus,,x,,x,x,,
Notarius quadriscutis,,x,,x,x,,
Notarius rugispinis,,x,,x,x,,
Sciades couma,,x,,x,x,,
Sciades herzbergii,,x,,x,x,,
Sciades parkeri,,x,,x,x,,
Sciades passany,,x,,x,x,,
Sciades proops,,x,,x,x,,
Ariommatidae,,,,,,,
Ariomma bondi,,,,,,x,x
Ariomma melanum,,,,,x,x,x
Ariomma regulus,,,,,,x,x
Aspredinidae,,,,,,,
Aspredinichthys filamentosus,,x,,x,x,,
Aspredo aspredo,,x,,x,x,,
Platystacus cotylephorus,,x,,x,x,,
Atherinidae,,,,,,,
Alepidomus evermanni,x,,,,,,x
Atherina harringtonensis,x,,,,,,x
Atherinomorus stipes,x,,,,,,x
Atherinopsidae,,,,,,,
Atherinella alvarezi,x,,,,,,x
Atherinella beani,x,,,,,,x
Atherinella blackburni,x,,,,,,x
Atherinella brasiliensis,x,,,,,,x
Atherinella chagresi,x,,,,,,x
Atherinella milleri,x,,,,,,x
Atherinella robbersi,x,,,,,,x
Atherinella schultzi,x,,,,,,x
Atherinella species A,x,,,,,,x
Melanorhinus microps,x,,,,,,x
Membras analis,x,,,,,,x
Membras argentea,x,,,,,,x
Membras martinica,x,,,,,,x
Membras species A,x,,,,,,x
Menidia beryllina,x,,,,,,x
Menidia clarkhubbsi,x,,,,,,x
Menidia colei,x,,,,,,x
Menidia conchorum,x,,,,,,x
Menidia menidia,x,,,,,,x
Menidia peninsulae,x,,,,,,x
Menidia species A,x,,,,,,x
Auchenipteridae,,,,,,,
Pseudauchenipterus nodosus,x,,,x,x,,
Aulopidae,,,,,,,
Aulopus filamentosus,,,,,,x,x
Aulostomidae,,,,,,,
Aulostomus maculatus,,,,,,x,x
Balistidae,,,,,,,
Balistes capriscus,x,,,,,,x
Balistes vetula,x,,,,,,x
Balistoides conspicillum,x,,,,,,x
Canthidermis maculata,x,,,,,,x
Canthidermis sufflamen,x,,,,,,x
Melichthys niger,x,,,,,,x
Rhinecanthus aculeatus,x,,,,,,x
Rhinecanthus verrucosus,x,,,,,,x
Xanthichthys ringens,x,,,,,,x
Batrachoididae,,,,,,,
Amphichthys cryptocentrus,x,,,x,x,,
Batrachoides gilberti,x,,,x,x,,
Batrachoides manglae,x,,,x,x,,
Batrachoides surinamensis,x,,,x,x,,
Opsanus beta,x,,,x,,,
Opsanus dichrostomus,x,,,x,,,
Opsanus pardus,x,,,x,x,,
Opsanus phobetron,x,,,x,x,,
Opsanus tau,x,,,x,x,,
Porichthys bathoiketes,x,,,x,x,,
Porichthys oculofrenum,x,,,x,x,,
Porichthys pauciradiatus,x,,,x,x,,
Porichthys plectrodon,x,,,x,x,,
Sanopus astrifer,x,,,x,x,,
Sanopus barbatus,x,,,x,,,
Sanopus greenfieldorum,x,,,x,x,,
Sanopus johnsoni,x,,,x,x,,
Sanopus reticulatus,x,,,x,x,,
Sanopus splendidus,x,,,x,x,,
Thalassophryne maculosa,x,,,x,x,,
Thalassophryne megalops,x,,,x,x,,
Thalassophryne nattereri,x,,,x,x,,
Vladichthys gloverensis,x,,,x,x,,
Belonidae,,,,,,,
Ablennes hians,x,,,,,,x
Platybelone argalus argalus,x,,,,,,x
Strongylura marina,x,,,,x,,x
Strongylura notata,x,,,,,,x
Strongylura timucu,x,,,,,,x
Tylosurus acus acus,x,,,,,,x
Tylosurus crocodilus crocodilus,x,,,,,,x
Berycidae,,,,,,,
Beryx decadactylus,,,,,,x,x
Beryx splendens,,,,,,x,x
Blenniidae,,,,,,,
Chasmodes bosquianus,x,,,,,,x
Chasmodes longimaxilla,x,,,,,,x
Chasmodes saburrae,x,,,,,,x
Entomacrodus nigricans,x,,,,,,x
Hypleurochilus bermudensis,x,,,,,,x
Hypleurochilus caudovittatus,x,,,,,,x
Hypleurochilus geminatus,x,,,,,,x
Hypleurochilus multifilis,x,,,,,,x
Hypleurochilus pseudoaequipinnis,x,,,,,,x
Hypleurochilus springeri,x,,,,,,x
Hypsoblennius exstochilus,x,,,,,,x
Hypsoblennius hentz,x,,,,,,x
Hypsoblennius invemar,x,,,,,,x
Hypsoblennius ionthas,x,,,,,,x
Lupinoblennius nicholsi,x,,,,,,x
Lupinoblennius vinctus,x,,,,,,x
Omobranchus punctatus,x,,,,,,x
Ophioblennius macclurei,x,,,,,,x
Parablennius marmoreus,x,,,,,,x
Scartella cristata,x,,,,,,x
Bothidae,,,,,,,
Bothus lunatus,,,,,,x,x
Bothus maculiferus,,,,,,x,x
Bothus ocellatus,,,,,,x,x
Bothus robinsi,,,,,,x,x
Chascanopsetta danae,,,,,,x,x
Chascanopsetta lugubris,,,,,,x,x
Engyophrys senta,,,,,,x,x
Monolene atrimana,,,,,,x,x
Monolene megalepis,,,,,,x,x
Monolene sessilicauda,,,,,,x,x
Trichopsetta caribbaea,,,,,,x,x
Trichopsetta melasma,,,,,,x,x
Trichopsetta orbisulcus,,,,,,x,x
Trichopsetta ventralis,,,,,,x,x
Bramidae,,,,,,,
Brama brama,,,,,,x,x
Brama caribbea,,,,,,x,x
Brama dussumieri,,,,,,x,x
Eumegistus brevorti,,,,,,x,x
Pteraclis carolinus,,,,,,x,x
Pterycombus brama,,,,,,x,x
Taractes rubescens,,,,,,x,x
Taractichthys longipinnis,,,,,,x,x
Bregmacerotidae,,,,,,,
Bregmaceros atlanticus,,,,,,x,x
Bregmaceros cantori,,,,,,x,x
Bregmaceros houdei,,,,,,x,x
Bythitidae,,,,,,,
Calamopteryx goslinei,,,x,,,,x
Calamopteryx robinsorum,,,x,,,,x
Grammonus claudei,,,x,,,,x
Lucifuga lucayana,,,x,x,x,,x
Lucifuga simile,,,x,x,x,,
Lucifuga spelaeotes,,,x,x,x,,
Parasaccogaster melanomycter,,,x,,,,x
Stygnobrotula latebricola,,,x,,,,x
Callionymidae,,,,,,,
Callionymus bairdi,,,,,,x,x
Diplogrammus pauciradiatus,,,,,,x,x
Foetorepus agassizii,,,,,,x,x
Foetorepus dagmarae,,,,,,x,x
Foetorepus goodenbeani,,,,,,x,x
Caproidae,,,,,,,
Antigonia capros,,,,,,x,x
Antigonia combatia,,,,,,x,x
Carangidae,,,,,,,
Alectis ciliaris,,,,,,x,x
Caranx bartholomaei,,,,,,x,x
Caranx crysos,,,,,,x,x
Caranx hippos,,,,,,x,x
Caranx latus,,,,,,x,x
Caranx lugubris,,,,,,x,x
Caranx ruber,,,,,,x,x
Chloroscombrus chrysurus,,,,,,x,x
Decapterus macarellus,,,,,,x,x
Decapterus punctatus,,,,,,x,x
Decapterus tabl,,,,,,x,x
Elagatis bipinnulata,,,,,,x,x
Gnathanodon speciosus,,,,,,x,x
Hemicaranx amblyrhynchus,,,,,,x,x
Naucrates ductor,,,,,,x,x
Oligoplites palometa,,,,,,x,x
Oligoplites saliens,,,,,,x,x
Oligoplites saurus saurus,,,,,,x,x
Pseudocaranx dentex,,,,,,x,x
Selar crumenophthalmus,,,,,,x,x
Selene brownii,,,,,,x,x
Selene setapinnis,,,,,,x,x
Selene vomer,,,,,,x,x
Seriola dumerili,,,,,,x,x
Seriola fasciata,,,,,,x,x
Seriola rivoliana,,,,,,x,x
Seriola zonata,,,,,,x,x
Trachinotus carolinus,,,,,,x,x
Trachinotus cayennensis,,,,,,x,x
Trachinotus falcatus,,,,,,x,x
Trachinotus goodei,,,,,,x,x
Trachurus lathami,,,,,,x,x
Uraspis secunda,,,,,,x,x
Carapidae,,,,,,,
Carapus bermudensis,,,,,,x,x
Echiodon dawsoni,,,,,,x,x
Carcharhinidae,,,,,,,
Carcharhinus acronotus,,,x,x,,,
Carcharhinus altimus,,,x,x,,,
Carcharhinus brachyurus,,,x,x,x,,
Carcharhinus brevipinna,,,x,x,,,
Carcharhinus falciformis,,,x,x,,,
Carcharhinus galapagensis,,,x,x,x,,
Carcharhinus isodon,,,x,x,,,
Carcharhinus leucas,,,x,x,,,
Carcharhinus limbatus,,,x,x,,,
Carcharhinus longimanus,,,x,x,,,
Carcharhinus obscurus,,,x,x,,,
Carcharhinus perezii,,,x,x,,,
Carcharhinus plumbeus,,,x,x,,,
Carcharhinus porosus,,,x,x,,,
Carcharhinus signatus,,,x,x,,,
Galeocerdo cuvier,,,x,x,,,
Isogomphodon oxyrhynchus,,,x,x,,,
Negaprion brevirostris,,,x,x,,,
Prionace glauca,,,x,x,,,
Rhizoprionodon lalandii,,,x,x,,,
Rhizoprionodon porosus,,,x,x,,,
Rhizoprionodon terraenovae,,,x,x,,,
Centriscidae,,,,,,,
Macroramphosus gracilis,,,,,,x,x
Macroramphosus scolopax,,,,,,x,x
Centrolophidae,,,,,,,
Hyperoglyphe bythites,,,,,,x,x
Hyperoglyphe perciformis,,,,,,x,x
Schedophilus ovalis,,,,,,x,x
Schedophilus pemarco,,,,,,x,x
Centrophoridae,,,,,,,
Centrophorus granulosus,,,x,x,,,
Centrophorus squamosus,,,x,x,,,
Centrophorus tessellatus,,,x,x,,,
Deania calcea,,,x,,,,
Deania profundorum,,,x,,,,
Centropomidae,,,,,,,
Centropomus ensiferus,,,,,,x,x
Centropomus mexicanus,,,,,,x,x
Centropomus parallelus,,,,,,x,x
Centropomus pectinatus,,,,,,x,x
Centropomus poeyi,,,,,,x,x
Centropomus undecimalis,,,,,,x,x
Cetorhinidae,,,,,,,
Cetorhinus maximus,,,x,x,,,
Chaenopsidae,,,,,,,
Acanthemblemaria aceroi,x,,,,,,
Acanthemblemaria aspera,x,,,,,,x
Acanthemblemaria betinensis,x,,,,,,x
Acanthemblemaria chaplini,x,,,,,,x
Acanthemblemaria greenfieldi,x,,,,,,x
Acanthemblemaria harpeza,x,,,,,,x
Acanthemblemaria johnsoni,x,,,,,,x
Acanthemblemaria maria,x,,,,,,x
Acanthemblemaria medusa,x,,,,,,x
Acanthemblemaria paula,x,,,,,,x
Acanthemblemaria rivasi,x,,,,,,x
Acanthemblemaria spinosa,x,,,,,,x
Chaenopsis limbaughi,x,,,,,,x
Chaenopsis megalops,x,,,,,,x
Chaenopsis ocellata,x,,,,,,x
Chaenopsis resh,x,,,,,,x
Chaenopsis roseola,x,,,,,,x
Chaenopsis stephensi,x,,,,,,x
Coralliozetus cardonae,x,,,,,,x
Ekemblemaria nigra,x,,,,,,x
Emblemaria atlantica,x,,,,,,x
Emblemaria australis,x,,,,,,x
Emblemaria biocellata,x,,,,,,x
Emblemaria caldwelli,x,,,,,,x
Emblemaria caycedoi,x,,,,,,x
Emblemaria culmenis,x,,,,,,x
Emblemaria diphyodontis,x,,,,,,x
Emblemaria hyltoni,x,,,,,,x
Emblemaria pandionis,x,,,,,,x
Emblemaria piratula,x,,,,,,x
Emblemaria vitta,x,,,,,,x
Emblemariopsis bahamensis,x,,,,,,x
Emblemariopsis bottomei,x,,,,,,x
Emblemariopsis carib,x,,,,,,x
Emblemariopsis dianae,x,,,,,,x
Emblemariopsis diaphana,x,,,,,,x
Emblemariopsis falcon,x,,,,,,x
Emblemariopsis lancea,x,,,,,,x
Emblemariopsis leptocirris,x,,,,,,x
Emblemariopsis occidentalis,x,,,,,,x
Emblemariopsis pricei,x,,,,,,x
Emblemariopsis randalli,x,,,,,,x
Emblemariopsis ruetzleri,x,,,,,,x
Emblemariopsis tayrona,x,,,,,,x
Hemiemblemaria simula,x,,,,,,x
Lucayablennius zingaro,x,,,,,,x
Protemblemaria punctata,x,,,,,,x
Stathmonotus gymnodermis,x,,,,,,x
Stathmonotus hemphillii,x,,,,,,x
Stathmonotus stahli,x,,,,,,x
Stathmonotus tekla,x,,,,,,x
Chaetodontidae,,,,,,,
Chaetodon capistratus,,,,,,x,x
Chaetodon lunula,,,,,,x,x
Chaetodon ocellatus,,,,,,x,x
Chaetodon sedentarius,,,,,,x,x
Chaetodon striatus,,,,,,x,x
Heniochus diphreutes,,,,,,x,x
Heniochus intermedius,,,,,,x,x
Heniochus monoceros,,,,,,x,x
Prognathodes aculeatus,,,,,,x,x
Prognathodes aya,,,,,,x,x
Prognathodes guyanensis,,,,,,x,x
Characidae,,,,,,,
Astyanax aeneus,x,,,x,,,
Chaunacidae,,,,,,,
Chaunacops roseus,,,,,,x,x
Chaunax pictus,,,,,,x,x
Chaunax stigmaeus,,,,,,x,x
Chaunax suttkusi,,,,,x,x,
Chimaeridae,,,,,,,
Chimaera bahamaensis,x,,,x,x,,
Chimaera cubana,x,,,x,x,,
Hydrolagus alberti,x,,,x,x,,
Hydrolagus mirabilis,x,,,x,x,,
Chlamydoselachidae,,,,,,,
Chlamydoselachus anguineus,,,x,x,,,
Chlopsidae,,,,,,,
Catesbya pseudomuraena,,,,,x,x,x
Chilorhinus suensonii,,,,,,x,x
Chlopsis bicolor,,,,,,x,x
Chlopsis dentatus,,,,,,x,x
Kaupichthys hyoproroides,,,,,,x,x
Kaupichthys nuchalis,,,,,,x,x
Robinsia catherinae,,,,,,x,x
Chlorophthalmidae,,,,,,,
Chlorophthalmus agassizi,,,,,,x,x
Chlorophthalmus brasiliensis,,,,,,x,x
Parasudis truculenta,,,,,,x,x
Cichlidae,,,,,,,
Hemichromis letourneuxi,x,,,x,x,,
Herichthys cyanoguttatus,,x,,x,x,,
Mayaheros urophthalmus,x,,,x,x,,
Nandopsis haitiensis,x,,,x,x,,
Nandopsis tetracanthus,x,,,x,x,,
Oreochromis aureus,,x,,x,x,,
Oreochromis mossambicus,,x,,x,x,,
Oreochromis niloticus niloticus,,x,,x,x,,
Oreochromis urolepis,,x,,x,x,,
Sarotherodon melanotheron,,x,,x,x,,
Tilapia mariae,x,,,x,x,,
Tilapia rendalli,x,,,x,x,,
Tilapia zillii,x,,,x,x,,
Vieja maculicauda,x,,,x,x,,
Vieja melanura,x,,,x,x,,
Cirrhitidae,,,,,,,
Amblycirrhitus pinos,,,,,,x,x
Clupeidae,,,,,,,
Alosa aestivalis,,,,,,x,x
Alosa alabamae,x,,,,,,x
Alosa chrysochloris,x,,,,,,x
Alosa sapidissima,x,,,,,,x
Brevoortia gunteri,,,,,,x,x
Brevoortia patronus,,,,,,x,x
Brevoortia smithi,,,,,,x,x
Brevoortia tyrannus,,,,,,x,x
Dorosoma cepedianum,x,,,,,,x
Dorosoma petenense,x,,,,,,x
Etrumeus sadina,,,,,,x,x
Harengula clupeola,,,,,,x,x
Harengula humeralis,,,,,,x,x
Harengula jaguana,,,,,,x,x
Jenkinsia lamprotaenia,,,,,,x,x
Jenkinsia majua,,,,,,x,x
Jenkinsia parvula,,,,,,x,x
Jenkinsia stolifera,,,,,,x,x
Lile piquitinga,,,,,,x,x
Opisthonema oglinum,,,,,,x,x
Rhinosardinia amazonica,,,,,,x,x
Sardinella aurita,,,,,,x,x
Congridae,,,,,,,
Ariosoma anale,,,,,,x,x
Ariosoma balearicum,,,,,,x,x
Ariosoma selenops,,,,,,x,x
Bathycongrus bullisi,,,,,,x,x
Bathycongrus dubius,,,,,,x,x
Bathycongrus polyporus,,,,,,x,x
Bathycongrus thysanochilus,,,,,,x,x
Bathycongrus vicinalis,,,,,,x,x
Bathyuroconger vicinus,,,,,,x,x
Conger esculentus,,,,,,x,x
Conger oceanicus,,,,,,x,x
Conger triporiceps,,,,,,x,x
Gnathophis bathytopos,,,,,,x,x
Gnathophis bracheatopos,,,,,,x,x
Heteroconger camelopardalis,,,,,,x,x
Heteroconger longissimus,,,,,,x,x
Heteroconger luteolus,,,,,,x,x
Japonoconger caribbeus,,,,,,x,x
Paraconger caudilimbatus,,,,,,x,x
Pseudophichthys splendens,,,,,,x,x
Rhynchoconger flavus,,,,,,x,x
Rhynchoconger gracilior,,,,,,x,x
Rhynchoconger guppyi,,,,,,x,x
Uroconger syringinus,,,,,,x,x
Coryphaenidae,,,,,,,
Coryphaena equiselis,,,,,x,x,x
Coryphaena hippurus,,,,,,x,x
Crurirajidae,,,,,,,
Cruriraja atlantis,x,,,x,x,,
Cruriraja cadenati,x,,,x,x,,
Cruriraja poeyi,x,,x,x,,,
Cruriraja rugosa,x,,,x,x,,
Cynoglossidae,,,,,,,
Symphurus arawak,,,,,,x,x
Symphurus billykrietei,,,,,,x,x
Symphurus caribbeanus,,,,,,x,x
Symphurus civitatium,,,,,,x,x
