species,Bottom,Mid Water,Near Bottom,Near Surface,Surface
Cheilopogon heterurus,,,,x,x
Cheilopogon melanurus,,,,x,x
Cypselurus comatus,,,,x,x
Exocoetus obtusirostris,,,,x,x
Exocoetus volitans,,,,x,x
Hirundichthys affinis,,,,x,x
Hirundichthys rondeletii,,,,x,x
Hirundichthys speculiger,,,,x,x
Parexocoetus hillianus,,,,x,x
Prognichthys glaphyrae,,,,x,x
Prognichthys occidentalis,,,,x,x
Fistulariidae,,,,,
Fistularia petimba,x,,x,,
Fistularia tabacaria,x,,x,,
Fundulidae,,,,,
Fundulus bermudae,x,,,,
Fundulus chrysotus,x,,,,
Fundulus confluentus,x,,,,
Fundulus grandis,x,,,,
Fundulus grandissimus,x,,,,
Fundulus jenkinsi,x,,,,
Fundulus majalis,x,,,,
Fundulus persimilis,x,,,,
Fundulus pulvereus,x,,,,
Fundulus relictus,x,,,,
Fundulus saguanus,x,,,,
Fundulus seminolis,x,,,,
Fundulus similis,x,,,,
Fundulus xenicus,x,,,,
Lucania parva,x,,x,,
Gadidae,,,,,
Enchelyopus cimbrius,x,,,,
Phycis chesteri,x,x,x,,
Urophycis cirrata,x,x,x,,
Urophycis earllii,x,,x,,
Urophycis floridana,x,,x,,
Urophycis regia,x,,x,,
Gempylidae,,,,,
Diplospinus multistriatus,,x,x,,
Epinnula magistralis,x,x,x,,
Gempylus serpens,,x,,x,x
Lepidocybium flavobrunneum,,x,,x,x
Nealotus tripes,,x,,x,x
Neoepinnula americana,x,,x,,
Nesiarchus nasutus,x,x,x,,
Promethichthys prometheus,x,x,x,,
Ruvettus pretiosus,,x,x,,
Gerreidae,,,,,
Diapterus auratus,x,,,,
Diapterus rhombeus,x,,,,
Eucinostomus argenteus,x,,,,
Eucinostomus gula,x,,,,
Eucinostomus harengulus,x,,,,
Eucinostomus havana,x,,,,
Eucinostomus jonesii,x,,,,
Eucinostomus lefroyi,x,,,,
Eucinostomus melanopterus,x,,,,
Eugerres awlae,x,,,,
Eugerres brasilianus,x,,,,
Eugerres plumieri,x,,,,
Gerres cinereus,x,,,,
Ginglymostomatidae,,,,,
Ginglymostoma cirratum,x,,,,
Gobiesocidae,,,,,
Acyrtops amplicirrus,x,,,,
Acyrtops beryllinus,x,,,,
Acyrtus artius,x,,,,
Acyrtus lanthanum,x,,,,
Acyrtus rubiginosus,x,,,,
Arcos nudus,x,,,,
Derilissus altifrons,x,,,,
Derilissus kremnobates,x,,,,
Derilissus lombardii,x,,,,
Derilissus nanus,x,,,,
Derilissus vittiger,x,,,,
Gobiesox barbatulus,x,,,,
Gobiesox cephalus,x,,,,
Gobiesox lucayanus,x,,,,
Gobiesox nigripinnis,x,,,,
Gobiesox punctulatus,x,,,,
Gobiesox strumosus,x,,,,
Gymnoscyphus ascitus,x,,,,
Tomicodon briggsi,x,,,,
Tomicodon clarkei,x,,,,
Tomicodon cryptus,x,,,,
Tomicodon fasciatus,x,,,,
Tomicodon lavettsmithi,x,,,,
Tomicodon leurodiscus,x,,,,
Tomicodon reitzae,x,,,,
Tomicodon rhabdotus,x,,,,
Tomicodon rupestris,x,,,,
Gobiidae,,,,,
Akko dionaea,x,,,,
Antilligobius nikkiae,,,x,,
Awaous banana,x,,,,
Awaous flavus,x,,,,
Barbulifer antennatus,x,,,,
Barbulifer ceuthoecus,x,,,,
Bathygobius antilliensis,x,,,,
Bathygobius curacao,x,,,,
Bathygobius geminatus,x,,,,
Bathygobius lacertus,x,,,,
Bathygobius mystacium,x,,,,
Bathygobius soporator,x,,,,
Bollmannia boqueronensis,x,,,,
Bollmannia communis,x,,,,
Bollmannia eigenmanni,x,,,,
Bollmannia litura,x,,,,
Carrigobius amblyrhynchus,x,,,,
Cerdale floridana,x,,,,
Chriolepis fisheri,x,,,,
Chriolepis roosevelti,x,,,,
Coryphopterus alloides,x,,,,
Coryphopterus curasub,x,,,,
Coryphopterus dicrus,x,,,,
Coryphopterus eidolon,x,,,,
Coryphopterus glaucofraenum,x,,,,
Coryphopterus hyalinus,x,,x,,
Coryphopterus kuna,x,,,,
Coryphopterus lipernes,x,,,,
Coryphopterus personatus,x,,x,,
Coryphopterus punctipectophorus,x,,,,
Coryphopterus thrix,x,,,,
Coryphopterus tortugae,x,,,,
Coryphopterus venezuelae,x,,,,
Cryptopsilotris batrachodes,x,,,,
Ctenogobius boleosoma,x,,,,
Ctenogobius claytonii,x,,,,
Ctenogobius fasciatus,x,,,,
Ctenogobius phenacus,x,,,,
Ctenogobius pseudofasciatus,x,,,,
Ctenogobius saepepallens,x,,,,
Ctenogobius shufeldti,x,,,,
Ctenogobius smaragdus,x,,,,
Ctenogobius stigmaticus,x,,,,
Ctenogobius stigmaturus,x,,,,
Elacatinus atronasus,x,,,,
Elacatinus cayman,x,,,,
Elacatinus centralis,x,,,,
Elacatinus chancei,x,,,,
Elacatinus colini,x,,,,
Elacatinus evelynae,x,,,,
Elacatinus genie,x,,,,
Elacatinus horsti,x,,,,
Elacatinus illecebrosus,x,,,,
Elacatinus jarocho,x,,x,,
Elacatinus lobeli,x,,,,
Elacatinus lori,x,,,,
Elacatinus louisae,x,,,,
Elacatinus oceanops,x,,,,
Elacatinus prochilos,x,,,,
Elacatinus randalli,x,,,,
Elacatinus serranilla,x,,,,
Elacatinus species N,x,,,,
Elacatinus species P,x,,,,
Elacatinus tenox,x,,,,
Elacatinus xanthiprora,x,,,,
Evermannichthys bicolor,x,,,,
Evermannichthys convictor,x,,,,
Evermannichthys metzelaari,x,,,,
Evermannichthys silus,x,,,,
Evermannichthys spongicola,x,,,,
Evorthodus lyricus,x,,,,
Ginsburgellus novemlineatus,x,,,,
Gnatholepis thompsoni,x,,,,
Gobioides broussonnetii,x,,,,
Gobionellus oceanicus,x,,,,
Gobiosoma bosc,x,,,,
Gobiosoma ginsburgi,x,,,,
Gobiosoma grosvenori,x,,,,
Gobiosoma hildebrandi,x,,,,
Gobiosoma longipala,x,,,,
Gobiosoma nudum,x,,,,
Gobiosoma robustum,x,,,,
Gobiosoma schultzi,x,,,,
Gobiosoma spes,x,,,,
Gobiosoma spilotum,x,,,,
Gobiosoma yucatanum,x,,,,
Gobulus myersi,x,,,,
Lophogobius cyprinoides,x,,,,
Lythrypnus crocodilus,x,,,,
Lythrypnus elasson,x,,,,
Lythrypnus heterochroma,x,,,,
Lythrypnus minimus,x,,,,
Lythrypnus mowbrayi,x,,,,
Lythrypnus nesiotes,x,,,,
Lythrypnus okapia,x,,,,
Lythrypnus phorellus,x,,,,
Lythrypnus species 3,x,,,,
Lythrypnus spilus,x,,,,
Microdesmus bahianus,x,,,,
Microdesmus carri,x,,,,
Microdesmus lanceolatus,x,,,,
Microdesmus longipinnis,x,,,,
Microdesmus luscus,x,,,,
Microgobius carri,x,,,,
Microgobius gulosus,x,,,,
Microgobius meeki,x,,,,
Microgobius microlepis,x,,,,
Microgobius signatus,x,,,,
Microgobius thalassinus,x,,,,
Nes longus,x,,,,
Oxyurichthys stigmalophius,x,,,,
Paedovaricus imswe,x,,,,
Palatogobius grandoculus,x,,,,
Palatogobius incendius,x,,x,,
Palatogobius paradoxus,x,,x,,
Pariah scotius,x,,,,
Parrella macropteryx,x,,,,
Pinnichthys aimoriensis,x,,,,
Pinnichthys bilix,x,,,,
Pinnichthys prolata,x,,,,
Pinnichthys saurimimica,x,,,,
Priolepis dawsoni,x,,,,
Priolepis hipoliti,x,,,,
Priolepis robinsi,x,,,,
Psilotris alepis,x,,,,
Psilotris boehlkei,x,,,,
Psilotris celsa,x,,,,
Psilotris kaufmani,x,,,,
Psilotris laetarii,x,,,,
Psilotris laurae,x,,,,
Psilotris vantasselli,x,,,,
Ptereleotris calliura,x,,,,
Ptereleotris helenae,x,,,,
Ptereleotris randalli,x,,,,
Risor ruber,x,,,,
Robinsichthys arrowsmithensis,x,,,,
Sicydium buscki,x,,,,
Tigrigobius dilepis,x,,,,
Tigrigobius gemmatus,x,,,,
Tigrigobius harveyi,x,,,,
Tigrigobius macrodon,x,,,,
Tigrigobius multifasciatus,x,,,,
Tigrigobius pallens,x,,,,
Tigrigobius panamensis,x,,,,
Tigrigobius redimiculus,x,,,,
Tigrigobius rubrigenis,x,,,,
Tigrigobius saucrus,x,,,,
Tigrigobius zebrellus,x,,,,
Varicus adamsi,x,,,,
Varicus benthonis,x,,,,
Varicus bucca,x,,,,
Varicus cephalocellatus,x,,,,
Varicus decorum,x,,,,
Varicus lacerta,x,,,,
Varicus marilynae,x,,,,
Varicus nigritus,x,,,,
Varicus veliguttatus,x,,,,
Varicus vespa,x,,,,
Vomerogobius flavus,x,,x,,
Grammatidae,,,,,
Gramma dejongi,x,,,,
Gramma linki,x,,,,
Gramma loreto,x,,,,
Gramma melacara,x,,,,
Lipogramma anabantoides,x,,,,
Lipogramma barrettorum,x,,,,
Lipogramma evides,x,,,,
Lipogramma flavescens,x,,,,
Lipogramma haberorum,x,,,,
Lipogramma idabeli,x,,,,
Lipogramma klayi,x,,,,
Lipogramma levinsoni,x,,,,
Lipogramma regia,x,,,,
Lipogramma robinsi,x,,,,
Lipogramma rosea,x,,,,
Lipogramma schrieri,x,,,,
Lipogramma trilineata,x,,,,
Grammicolepididae,,,,,
Grammicolepis brachiusculus,,x,x,,
Xenolepidichthys dalgleishi,,x,x,,
Gymnuridae,,,,,
Gymnura altavela,x,,,,
Gymnura lessae,x,,,,
Gymnura micrura,x,,,,
Haemulidae,,,,,
Anisotremus surinamensis,x,,,,
Anisotremus virginicus,x,,,,
Brachygenys chrysargyrea,x,,,,
Conodon nobilis,x,,,,
Emmelichthyops atlanticus,,x,x,x,x
Genyatremus cavifrons,x,,,,
Haemulon album,x,,,,
Haemulon atlanticus,x,,,,
Haemulon aurolineatum,x,,,,
Haemulon bonariense,x,,,,
Haemulon boschmae,x,,x,,
Haemulon carbonarium,x,,,,
Haemulon flavolineatum,x,,,,
Haemulon macrostomum,x,,,,
Haemulon melanurum,x,,,,
Haemulon parra,x,,,,
Haemulon plumierii,x,,,,
Haemulon sciurus,x,,,,
Haemulon striatum,x,,x,,
Haemulon vittatum,,x,x,x,x
Haemulopsis corvinaeformis,x,,,,
Orthopristis chrysoptera,x,,,,
Orthopristis scapularis,x,,,,
Paranisotremus moricandi,x,,,,
Rhonciscus crocro,x,,,,
Hemiramphidae,,,,,
Chriodorus atherinoides,,,,x,x
Euleptorhamphus velox,,,,x,x
Hemiramphus balao,,,,x,x
Hemiramphus bermudensis,,,,x,x
Hemiramphus brasiliensis,,,,x,x
Hyporhamphus collettei,,,,,x
Hyporhamphus meeki,,,,x,x
Hyporhamphus roberti,,,,x,x
Hyporhamphus unifasciatus,,,,x,x
Oxyporhamphus similis,,,,x,x
Hemiscylliidae,,,,,
Chiloscyllium punctatum,x,,,,
Heterenchelyidae,,,,,
Pythonichthys sanguineus,x,,,,
Hexanchidae,,,,,
Heptranchias perlo,x,,x,,
Hexanchus griseus,x,,x,,
Hexanchus vitulus,x,,x,,
Holocentridae,,,,,
Corniger spinosus,x,,,,
Holocentrus adscensionis,x,,,,
Holocentrus rufus,x,,,,
Myripristis jacobus,x,,,,
Neoniphon coruscum,x,,,,
Neoniphon marianus,x,,,,
Neoniphon vexillarium,x,,,,
Ostichthys trachypoma,x,,,,
Plectrypops retrospinis,x,,,,
Sargocentron bullisi,x,,,,
Sargocentron poco,x,,,,
Istiophoridae,,,,,
Istiophorus platypterus,,x,,x,x
Kajikia albida,,x,,x,x
Makaira nigricans,,x,,x,x
Tetrapturus georgii,,x,,x,x
Tetrapturus pfluegeri,,x,,x,x
Kyphosidae,,,,,
Kyphosus bigibbus,x,x,,,x
Kyphosus cinerascens,x,x,x,x,x
Kyphosus sectatrix,x,,x,,
Kyphosus vaigiensis,x,x,,x,x
Labridae labrinae,,,,,
Bodianus pulchellus,x,,,,
Bodianus rufus,x,,,,
Clepticus parrae,x,,x,,
Decodon puellaris,x,,,,
Doratonotus megalepis,x,,,,
Halichoeres bathyphilus,x,,,,
Halichoeres bivittatus,x,,,,
Halichoeres burekae,x,,x,,
Halichoeres caudalis,x,,,,
Halichoeres cyanocephalus,x,,,,
Halichoeres garnoti,x,,,,
Halichoeres maculipinna,x,,,,
Halichoeres pictus,x,,x,,
Halichoeres poeyi,x,,,,
Halichoeres radiatus,x,,,,
Halichoeres socialis,x,,x,,
Lachnolaimus maximus,x,,,,
Polylepion species A,x,,,,
Thalassoma bifasciatum,x,,x,,
Xyrichtys martinicensis,x,,,,
Xyrichtys novacula,x,,,,
Xyrichtys splendens,x,,,,
Labridae scarinae,,,,,
Cryptotomus roseus,x,,,,
Nicholsina usta,x,,,,
Scarus coelestinus,x,,,,
Scarus coeruleus,x,,,,
Scarus guacamaia,x,,,,
Scarus iseri,x,,,,
Scarus taeniopterus,x,,,,
Scarus vetula,x,,,,
Sparisoma atomarium,x,,,,
Sparisoma aurofrenatum,x,,,,
Sparisoma axillare,x,,,,
Sparisoma chrysopterum,x,,,,
Sparisoma griseorubrum,x,,,,
Sparisoma radians,x,,,,
Sparisoma rubripinne,x,,,,
Sparisoma viride,x,,,,
Labrisomidae,,,,,
Brockius albigenys,x,,,,
Brockius nigricinctus,x,,,,
Gobioclinus bucciferus,x,,,,
Gobioclinus filamentosus,x,,,,
Gobioclinus gobio,x,,,,
Gobioclinus guppyi,x,,,,
Gobioclinus haitiensis,x,,,,
Gobioclinus kalisherae,x,,,,
Haptoclinus apectolophus,x,,,,
Haptoclinus dropi,x,,,,
Labrisomus conditus,x,,,,
Labrisomus cricota,x,,,,
Labrisomus nuchipinnis,x,,,,
Malacoctenus aurolineatus,x,,,,
Malacoctenus boehlkei,x,,,,
Malacoctenus delalandii,x,,,,
Malacoctenus erdmani,x,,,,
Malacoctenus gilli,x,,,,
Malacoctenus macropus,x,,,,
Malacoctenus triangulatus,x,,,,
Malacoctenus versicolor,x,,,,
Nemaclinus atelestos,x,,,,
Paraclinus barbatus,x,,,,
Paraclinus cingulatus,x,,,,
Paraclinus fasciatus,x,,,,
Paraclinus grandicomis,x,,,,
Paraclinus infrons,x,,,,
Paraclinus marmoratus,x,,,,
Paraclinus naeorhegmis,x,,,,
Paraclinus nigripinnis,x,,,,
Starksia atlantica,x,,,,
Starksia culebrae,x,,,,
Starksia elongata,x,,,,
Starksia fasciata,x,,,,
Starksia greenfieldi,x,,,,
Starksia guttata,x,,,,
Starksia hassi,x,,,,
Starksia langi,x,,,,
Starksia lepicoelia,x,,,,
Starksia leucovitta,x,,,,
Starksia melasma,x,,,,
Starksia nanodes,x,,,,
Starksia occidentalis,x,,,,
Starksia ocellata,x,,,,
Starksia rava,x,,,,
Starksia robertsoni,x,,,,
Starksia sangreyae,x,,,,
Starksia sella,x,,,,
Starksia sluiteri,x,,,,
Starksia smithvanizi,x,,,,
Starksia species A,x,,,,
Starksia species B,x,,,,
Starksia splendens,x,,,,
Starksia springeri,x,,,,
Starksia starcki,x,,,,
Starksia variabilis,x,,,,
Starksia weigti,x,,,,
Starksia williamsi,x,,,,
Starksia y-lineata,x,,,,
Lamnidae,,,,,
Carcharodon carcharias,,x,x,x,x
Isurus oxyrinchus,,x,,x,x
Isurus paucus,,x,,x,x
Lamna nasus,,x,,x,x
Lamprididae,,,,,
Lampris megalopsis,,x,,x,x
Lepisosteidae,,,,,
Atractosteus spatula,,x,x,x,x
Atractosteus tristoechus,,x,x,x,x
Lepisosteus oculatus,,x,x,x,x
Lepisosteus osseus,,x,x,x,x
Lepisosteus platyrhincus,,x,x,x,x
Lobotidae,,,,,
Lobotes surinamensis,x,x,x,x,x
Lophiidae,,,,,
Lophiodes beroe,x,,,,
Lophiodes monodi,x,,,,
Lophiodes reticulatus,x,,,,
Lophius americanus,x,,,,
Lophius gastrophysus,x,,,,
Sladenia shaefersi,x,,,,
Lutjanidae,,,,,
Apsilus dentatus,x,,x,,
Etelis oculatus,x,,,,
Lutjanus analis,x,,,,
Lutjanus apodus,x,,x,,
Lutjanus buccanella,x,,,,
Lutjanus campechanus,x,,,,
Lutjanus cyanopterus,x,,,,
Lutjanus griseus,x,,,,
Lutjanus jocu,x,,,,
Lutjanus mahogoni,x,,,,
Lutjanus purpureus,x,,,,
Lutjanus synagris,x,,,,
Lutjanus vivanus,x,,,,
Ocyurus chrysurus,x,x,x,,
Pristipomoides aquilonaris,x,x,x,,
Pristipomoides freemani,x,x,,,
Pristipomoides macrophthalmus,x,x,x,,
Rhomboplites aurorubens,x,,x,,
Luvaridae,,,,,
Luvarus imperialis,,x,,x,x
Malacanthidae,,,,,
Caulolatilus bermudensis,x,,,,
Caulolatilus chrysops,x,,,,
Caulolatilus cyanops,x,,,,
Caulolatilus dooleyi,x,,,,
Caulolatilus guppyi,x,,,,
Caulolatilus intermedius,x,,,,
Caulolatilus microps,x,,,,
Caulolatilus williamsi,x,,,,
Lopholatilus chamaeleonticeps,x,,,,
Malacanthus plumieri,x,,,,
Megachasmidae,,,,,
Megachasma pelagios,,x,,x,x
Megalopidae,,,,,
Megalops atlanticus,,x,x,x,x
Merlucciidae,,,,,
Merluccius albidus,x,x,x,,
Merluccius bilinearis,x,x,x,,
Steindachneria argentea,x,,x,,
Mitsukurinidae,,,,,
Mitsukurina owstoni,,x,,x,
Mobulidae,,,,,
Mobula birostris,,,,x,x
Mobula hypostoma,,,,x,x
Mobula mobular,,,,x,x
Mobula species A,,,,x,x
Mobula tarapacana,,,,x,x
Mobula thurstoni,,,,x,x
Molidae,,,,,
Masturus lanceolatus,,x,,x,x
Mola mola,,x,,x,x
Ranzania laevis,,x,,x,x
Monacanthidae,,,,,
Aluterus heudelotii,x,,,,
Aluterus monoceros,x,,,,
Aluterus schoepfii,x,,,,
Aluterus scriptus,x,,,,
Cantherhines macrocerus,x,,,,
Cantherhines pullus,x,,,,
Monacanthus ciliatus,x,,,,
Monacanthus tuckeri,x,,,,
Stephanolepis hispidus,x,,,,
Stephanolepis setifer,x,,,,
Moridae,,,,,
Laemonema barbatulum,x,,x,,
Physiculus fulvus,x,,x,,
Moringuidae,,,,,
Moringua edwardsi,x,,,,
Neoconger mucronatus,x,,,,
Moronidae,,,,,
Morone chrysops,x,,,,
Morone mississippiensis,x,,,,
Morone saxatilis,x,,,,
Mugilidae,,,,,
Dajaus monticola,x,,x,x,x
Joturus pichardi,x,,,,
Mugil cephalus,x,x,x,x,x
Mugil curema,x,x,x,x,x
Mugil curvidens,x,x,x,,
Mugil incilis,x,x,x,x,x
Mugil liza,x,x,x,x,x
Mugil longicauda,x,x,x,x,x
Mugil margaritae,x,x,x,x,x
Mugil rubrioculus,x,x,x,x,x
Mugil trichodon,x,x,x,x,x
Mullidae,,,,,
Mulloidichthys martinicus,x,,,,
Mullus auratus,x,,,,
Pseudupeneus maculatus,x,,,,
Upeneus parvus,x,,,,
Muraenesocidae,,,,,
Cynoponticus savanna,x,,,,
Muraenidae,,,,,
Anarchias similis,x,,,,
Channomuraena vittata,x,,,,
Echidna catenata,x,,,,
Enchelycore anatina,x,,,,
Enchelycore carychroa,x,,,,
Enchelycore nigricans,x,,,,
Gymnothorax conspersus,x,,,,
Gymnothorax funebris,x,,,,
Gymnothorax hubbsi,x,,,,
Gymnothorax kolpos,x,,,,
Gymnothorax maderensis,x,,,,
Gymnothorax miliaris,x,,,,
Gymnothorax moringa,x,,,,
Gymnothorax nigromarginatus,x,,,,
Gymnothorax ocellatus,x,,,,
Gymnothorax polygonius,x,,,,
Gymnothorax saxicola,x,,,,
Gymnothorax vicinus,x,,,,
Monopenchelys acuta,x,,,,
Muraena pavonina,x,,,,
Muraena retifera,x,,,,
Muraena robusta,x,,,,
Uropterygius macularius,x,,,,
Myliobatidae,,,,,
Myliobatis freminvillii,x,x,x,x,
Myliobatis goodei,x,x,x,x,
Narcinidae,,,,,
Benthobatis marcida,x,,,,
Diplobatis colombiensis,x,,,,
Diplobatis guamachensis,x,,,,
Diplobatis picta,x,,,,
Narcine bancroftii,x,,,,
Nettastomatidae,,,,,
Facciolella species A,x,,,,
Hoplunnis diomediana,x,,,,
Hoplunnis macrura,x,,,,
Hoplunnis megista,x,,,,
Hoplunnis similis,x,,,,
Hoplunnis tenuis,x,,,,
Nettastoma melanurum,x,,,,
Nettastoma syntresis,x,,,,
Nettenchelys exoria,x,,,,
Nettenchelys inion,x,,,,
Nettenchelys pygmaea,x,,,,
Saurenchelys cognita,x,,,,
Saurenchelys species A,x,,,,
Venefica procera,x,,,,
Nomeidae,,,,,
Cubiceps capensis,,x,,x,x
Cubiceps gracilis,,x,,x,
Cubiceps pauciradiatus,,x,,x,x
Nomeus gronovii,,x,,x,x
Psenes arafurensis,,x,,x,x
Psenes cyanophrys,,x,,x,x
Psenes pellucidus,,x,,x,x
Odontaspididae,,,,,
Carcharias taurus,x,,x,,
Odontaspis ferox,x,,x,,
Odontaspis noronhai,x,,x,,
Ogcocephalidae,,,,,
Dibranchus atlanticus,x,,,,
Halieutichthys aculeatus,x,,,,
Halieutichthys bispinosus,x,,,,
Halieutichthys caribbaeus,x,,,,
Halieutichthys intermedius,x,,,,
Malthopsis gnoma,x,,,,
Ogcocephalus corniger,x,,,,
Ogcocephalus cubifrons,x,,,,
Ogcocephalus declivirostris,x,,,,
Ogcocephalus nasutus,x,,,,
Ogcocephalus notatus,x,,,,
Ogcocephalus pantostictus,x,,,,
Ogcocephalus parvus,x,,,,
Ogcocephalus pumilus,x,,,,
Ogcocephalus rostellum,x,,,,
Zalieutes mcgintyi,x,,,,
Ophichthidae,,,,,
Ahlia egmontis,x,,,,
Aplatophis chauliodus,x,,,,
Aprognathodon platyventris,x,,,,
Apterichtus ansp,x,,,,
Apterichtus kendalli,x,,,,
Bascanichthys bascanium,x,,,,
Bascanichthys gaira,x,,,,
Bascanichthys inopinatus,x,,,,
Bascanichthys scuticaris,x,,,,
Callechelys bilinearis,x,,,,
Callechelys guineensis,x,,,,
Callechelys muraena,x,,,,
Callechelys springeri,x,,,,
Caralophia loxochila,x,,,,
Echiophis intertinctus,x,,,,
Echiophis punctifer,x,,,,
Ethadophis akkistikos,x,,,,
Gordiichthys ergodes,x,,,,
Gordiichthys irretitus,x,,,,
Gordiichthys leibyi,x,,,,
Gordiichthys randalli,x,,,,
Hyphalophis devius,x,,,,
Ichthyapus ophioneus,x,,,,
Kertomichthys blastorhinos,x,,,,
Letharchus velifer,x,,,,
Lethogoleos andersoni,x,,,,
Mixomyrophis pusillipinna,x,,,,
Myrichthys breviceps,x,,,,
Myrichthys ocellatus,x,,,,
Myrophis anterodorsalis,x,,,,
Myrophis platyrhynchus,x,,,,
Myrophis plumbeus,x,,,,
Myrophis punctatus,x,,,,
Ophichthus cruentifer,x,,,,
Ophichthus cylindroideus,x,,,,
Ophichthus gomesii,x,,,,
Ophichthus hyposagmatus,x,,,,
Ophichthus melanoporus,x,,,,
Ophichthus menezesi,x,,,,
Ophichthus omorgmus,x,,,,
Ophichthus ophis,x,,,,
Ophichthus puncticeps,x,,,,
Ophichthus rex,x,,,,
Ophichthus spinicauda,x,,,,
Phaenomonas longissima,x,,,,
Pseudomyrophis frio,x,,,,
Pseudomyrophis fugesae,x,,,,
Pseudomyrophis nimius,x,,,,
Quassiremus ascensionis,x,,,,
Ophidiidae,,,,,
Brotula barbata,x,,x,,
Lepophidium aporrhox,x,,,,
Lepophidium brevibarbe,x,,,,
Lepophidium collettei,x,,,,
Lepophidium crossotum,x,,,,
Lepophidium cultratum,x,,,,
Lepophidium entomelan,x,,,,
Lepophidium gilmorei,x,,,,
Lepophidium jeannae,x,,,,
Lepophidium kallion,x,,,,
Lepophidium marmoratum,x,,,,
Lepophidium pheromystax,x,,,,
Lepophidium profundorum,x,,,,
Lepophidium robustum,x,,,,
Lepophidium staurophor,x,,,,
